"",BBK01.OEAH19T,BBK01.OEAH19T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:46,
2002-01,0.152,
2002-04,0.159,
2002-07,0.162,
2002-10,0.173,
2003-01,0.175,
2003-04,0.177,
2003-07,0.182,
2003-10,0.209,
2004-01,0.198,
2004-04,0.218,
2004-07,0.223,
2004-10,0.222,
2005-01,0.312,
2005-04,0.301,
2005-07,0.344,
2005-10,0.351,
2006-01,0.371,
2006-04,0.412,
2006-07,0.404,
2006-10,0.458,
2007-01,0.510,
2007-04,0.485,
2007-07,0.507,
2007-10,0.542,
2008-01,0.558,
2008-04,0.574,
2008-07,0.606,
2008-10,0.622,
2009-01,0.650,
2009-04,0.544,
2009-07,0.555,
2009-10,0.538,
2010-01,0.530,
2010-04,0.536,
2010-07,0.531,
2010-10,0.508,
2011-01,0.520,
2011-04,0.527,
2011-07,0.513,
2011-10,0.581,
2012-01,0.626,
2012-04,0.621,
2012-07,0.593,
2012-10,0.590,
2013-01,0.470,
2013-04,0.493,
2013-07,0.524,
2013-10,0.512,
2014-01,0.574,
2014-04,0.614,
2014-07,0.607,
