"",BBK01.OEAG03M,BBK01.OEAG03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:24,
2002-01,12.674,
2002-04,10.343,
2002-07,9.540,
2002-10,9.793,
2003-01,9.513,
2003-04,16.297,
2003-07,16.448,
2003-10,16.796,
2004-01,16.467,
2004-04,16.567,
2004-07,16.148,
2004-10,15.316,
2005-01,16.508,
2005-04,17.079,
2005-07,17.696,
2005-10,15.436,
2006-01,16.880,
2006-04,17.134,
2006-07,10.971,
2006-10,10.216,
2007-01,10.901,
2007-04,10.793,
2007-07,11.240,
2007-10,10.886,
2008-01,10.935,
2008-04,10.985,
2008-07,10.622,
2008-10,10.088,
2009-01,10.870,
2009-04,10.943,
2009-07,11.082,
2009-10,11.201,
2010-01,11.087,
2010-04,10.786,
2010-07,11.176,
2010-10,10.638,
2011-01,11.516,
2011-04,11.612,
2011-07,13.433,
2011-10,13.535,
2012-01,13.072,
2012-04,13.600,
2012-07,12.967,
2012-10,13.828,
2013-01,12.700,
2013-04,13.325,
2013-07,12.884,
2013-10,12.779,
2014-01,11.742,
2014-04,11.389,
2014-07,10.723,
