"",BBK01.OEAF01U,BBK01.OEAF01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:16,
2002-01,7.581,
2002-04,7.645,
2002-07,7.723,
2002-10,8.048,
2003-01,8.083,
2003-04,8.222,
2003-07,8.350,
2003-10,8.394,
2004-01,8.415,
2004-04,8.400,
2004-07,8.473,
2004-10,8.542,
2005-01,8.910,
2005-04,8.877,
2005-07,9.140,
2005-10,9.047,
2006-01,9.009,
2006-04,9.085,
2006-07,9.159,
2006-10,9.146,
2007-01,9.017,
2007-04,8.987,
2007-07,8.910,
2007-10,8.929,
2008-01,8.563,
2008-04,8.451,
2008-07,8.410,
2008-10,8.348,
2009-01,8.263,
2009-04,8.679,
2009-07,8.824,
2009-10,8.774,
2010-01,8.731,
2010-04,8.759,
2010-07,8.760,
2010-10,8.707,
2011-01,8.721,
2011-04,8.734,
2011-07,8.785,
2011-10,8.763,
2012-01,8.744,
2012-04,8.833,
2012-07,8.924,
2012-10,8.940,
2013-01,8.947,
2013-04,9.045,
2013-07,9.197,
2013-10,9.261,
2014-01,9.307,
2014-04,9.346,
2014-07,9.432,
