"",BBK01.OEAD05J,BBK01.OEAD05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:17,
2002-01,0.193,
2002-04,0.195,
2002-07,0.212,
2002-10,0.175,
2003-01,0.193,
2003-04,0.176,
2003-07,0.189,
2003-10,0.152,
2004-01,0.146,
2004-04,0.152,
2004-07,0.143,
2004-10,0.120,
2005-01,0.116,
2005-04,0.114,
2005-07,0.110,
2005-10,0.115,
2006-01,0.103,
2006-04,0.099,
2006-07,0.102,
2006-10,0.099,
2007-01,0.095,
2007-04,0.095,
2007-07,0.096,
2007-10,0.099,
2008-01,0.107,
2008-04,0.132,
2008-07,0.139,
2008-10,0.173,
2009-01,0.176,
2009-04,0.163,
2009-07,0.162,
2009-10,0.157,
2010-01,0.071,
2010-04,0.169,
2010-07,0.157,
2010-10,0.155,
2011-01,0.166,
2011-04,0.180,
2011-07,0.183,
2011-10,0.188,
2012-01,0.184,
2012-04,0.180,
2012-07,0.177,
2012-10,0.176,
2013-01,0.171,
2013-04,0.175,
2013-07,0.170,
2013-10,0.169,
2014-01,0.157,
2014-04,0.169,
2014-07,0.185,
