"",BBK01.OEBK02S,BBK01.OEBK02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:00,
2002-01,0.283,
2002-04,0.291,
2002-07,0.289,
2002-10,0.261,
2003-01,0.248,
2003-04,0.252,
2003-07,0.266,
2003-10,0.285,
2004-01,0.277,
2004-04,0.278,
2004-07,0.295,
2004-10,0.295,
2005-01,0.299,
2005-04,0.301,
2005-07,0.318,
2005-10,0.340,
2006-01,0.392,
2006-04,0.330,
2006-07,0.335,
2006-10,0.360,
2007-01,0.346,
2007-04,0.351,
2007-07,0.389,
2007-10,0.373,
2008-01,0.336,
2008-04,0.335,
2008-07,0.384,
2008-10,0.394,
2009-01,0.393,
2009-04,0.411,
2009-07,0.440,
2009-10,0.440,
2010-01,0.423,
2010-04,0.459,
2010-07,0.504,
2010-10,0.515,
2011-01,0.498,
2011-04,0.521,
2011-07,0.531,
2011-10,0.567,
2012-01,0.546,
2012-04,0.560,
2012-07,0.581,
2012-10,0.598,
2013-01,0.583,
2013-04,0.594,
2013-07,0.624,
2013-10,0.656,
2014-01,0.642,
2014-04,0.666,
2014-07,0.699,
