"",BBK01.OEBM04O,BBK01.OEBM04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:39,
2002-01,0.464,
2002-04,0.542,
2002-07,0.656,
2002-10,0.716,
2003-01,0.711,
2003-04,0.719,
2003-07,0.867,
2003-10,0.888,
2004-01,0.555,
2004-04,0.574,
2004-07,0.535,
2004-10,0.499,
2005-01,0.517,
2005-04,0.333,
2005-07,0.180,
2005-10,0.124,
2006-01,0.088,
2006-04,0.104,
2006-07,0.097,
2006-10,0.093,
2007-01,0.084,
2007-04,0.120,
2007-07,0.149,
2007-10,0.176,
2008-01,0.215,
2008-04,0.224,
2008-07,0.310,
2008-10,0.398,
2009-01,0.308,
2009-04,0.260,
2009-07,0.207,
2009-10,0.082,
2010-01,0.074,
2010-04,0.086,
2010-07,0.081,
2010-10,0.065,
2011-01,0.062,
2011-04,0.072,
2011-07,0.092,
2011-10,0.051,
2012-01,0.147,
2012-04,0.111,
2012-07,0.178,
2012-10,0.148,
2013-01,0.101,
2013-04,0.121,
2013-07,0.112,
2013-10,0.095,
2014-01,0.064,
2014-04,0.062,
2014-07,0.085,
