"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Shares / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:35,
1991-01,961.984,
1991-02,1503.945,
1991-03,1606.730,
1991-04,1497.676,
1991-05,1210.859,
1991-06,1290.644,
1991-07,1390.015,
1991-08,1340.144,
1991-09,931.741,
1991-10,1257.353,
1991-11,1067.639,
1991-12,1117.367,
1992-01,1475.128,
1992-02,1419.694,
1992-03,1377.953,
1992-04,1398.854,
1992-05,1499.738,
1992-06,1011.921,
1992-07,1353.337,
1992-08,1023.358,
1992-09,1271.613,
1992-10,1163.000,
1992-11,1002.439,
1992-12,1369.714,
1993-01,1500.087,
1993-02,1592.386,
1993-03,1573.264,
1993-04,2103.696,
1993-05,2045.464,
1993-06,1797.132,
1993-07,2575.891,
1993-08,2572.552,
1993-09,1833.694,
1993-10,2252.759,
1993-11,2465.479,
1993-12,3069.771,
1994-01,3607.909,
1994-02,3093.553,
1994-03,3376.986,
1994-04,2488.080,
1994-05,2608.511,
1994-06,2648.595,
1994-07,2384.501,
1994-08,2422.991,
1994-09,2405.770,
1994-10,2018.812,
1994-11,2370.760,
1994-12,2393.231,
1995-01,2157.330,
1995-02,1940.754,
1995-03,2106.814,
1995-04,1722.353,
1995-05,3388.466,
1995-06,2292.022,
1995-07,3652.476,
1995-08,3449.059,
1995-09,2904.002,
1995-10,2899.302,
1995-11,3446.634,
1995-12,2554.875,
1996-01,3200.175,
1996-02,3094.385,
1996-03,3509.965,
1996-04,4364.690,
1996-05,6014.645,
1996-06,6058.833,
1996-07,4660.275,
1996-08,4358.904,
1996-09,4200.261,
1996-10,3935.118,
1996-11,3548.765,
1996-12,4649.129,
1997-01,6370.348,
1997-02,7731.888,
1997-03,9479.550,
1997-04,16460.829,
1997-05,15427.526,
1997-06,14693.986,
1997-07,15281.507,
1997-08,12838.220,
1997-09,14144.082,
1997-10,11901.077,
1997-11,12024.080,
1997-12,11696.084,
1998-01,11282.715,
1998-02,10981.222,
1998-03,17037.391,
1998-04,20221.316,
1998-05,27403.025,
1998-06,39927.438,
1998-07,19606.334,
1998-08,17595.710,
1998-09,19443.110,
1998-10,17411.695,
1998-11,15121.193,
1998-12,19131.205,
1999-01,20028.907,
1999-02,17601.607,
1999-03,28229.646,
1999-04,26539.164,
1999-05,26266.935,
1999-06,28741.337,
1999-07,28247.889,
1999-08,21086.447,
1999-09,22869.473,
1999-10,22235.738,
1999-11,31097.787,
1999-12,46960.012,
2000-01,39826.048,
2000-02,178589.364,
2000-03,76247.730,
2000-04,53665.495,
2000-05,50179.172,
2000-06,38028.050,
2000-07,35588.516,
2000-08,50547.455,
2000-09,46301.294,
2000-10,44201.712,
2000-11,46257.907,
2000-12,51483.969,
2001-01,42625.827,
2001-02,43290.630,
2001-03,68024.907,
2001-04,48929.058,
2001-05,63082.338,
2001-06,58420.178,
2001-07,41945.672,
2001-08,36492.819,
2001-09,42713.330,
2001-10,34784.195,
2001-11,37303.457,
2001-12,34543.286,
2002-01,35591.457,
2002-02,29902.429,
2002-03,47483.757,
2002-04,43183.734,
2002-05,32928.600,
2002-06,37467.653,
2002-07,42620.854,
2002-08,29320.106,
2002-09,32070.109,
2002-10,29790.138,
2002-11,27364.734,
2002-12,30291.942,
2003-01,27539.537,
2003-02,26908.211,
2003-03,30386.181,
2003-04,39014.250,
2003-05,21097.574,
2003-06,29642.363,
2003-07,33790.923,
2003-08,26354.129,
2003-09,34516.045,
2003-10,27392.550,
2003-11,28637.068,
2003-12,33211.252,
2004-01,33393.656,
2004-02,32812.922,
2004-03,52049.587,
2004-04,61474.744,
2004-05,52001.239,
2004-06,42568.307,
2004-07,33101.768,
2004-08,33037.665,
2004-09,35030.104,
2004-10,32902.843,
2004-11,39290.634,
2004-12,46708.797,
2005-01,42604.501,
2005-02,39841.733,
2005-03,48540.765,
2005-04,50949.721,
2005-05,53907.109,
2005-06,55886.151,
2005-07,45866.840,
2005-08,48946.130,
2005-09,52246.466,
2005-10,56022.104,
2005-11,60104.554,
2005-12,63485.952,
2006-01,56512.588,
2006-02,56711.060,
2006-03,84683.695,
2006-04,59497.755,
2006-05,83619.902,
2006-06,79713.358,
2006-07,49406.227,
2006-08,61335.078,
2006-09,56660.209,
2006-10,64231.976,
2006-11,62850.455,
2006-12,74917.841,
2007-01,68791.689,
2007-02,78565.337,
2007-03,119786.523,
2007-04,96648.491,
2007-05,95032.626,
2007-06,94090.926,
2007-07,73755.882,
2007-08,84695.371,
2007-09,71046.681,
2007-10,70733.553,
2007-11,75482.790,
2007-12,75946.049,
2008-01,74029.472,
2008-02,59867.671,
2008-03,79832.388,
2008-04,71724.457,
2008-05,82555.422,
2008-06,66408.290,
2008-07,54464.756,
2008-08,43590.248,
2008-09,63264.779,
2008-10,59211.017,
2008-11,41000.326,
2008-12,43630.075,
2009-01,22971.386,
2009-02,28967.063,
2009-03,36202.485,
2009-04,32233.912,
2009-05,32652.958,
2009-06,35195.486,
2009-07,28398.061,
2009-08,32610.297,
2009-09,39662.593,
2009-10,34955.566,
2009-11,34832.202,
2009-12,39921.568,
2010-01,32629.877,
2010-02,33424.463,
2010-03,50094.948,
2010-04,62377.020,
2010-05,78187.221,
2010-06,53819.497,
2010-07,39925.638,
2010-08,36365.612,
2010-09,49444.590,
2010-10,35776.842,
2010-11,60489.984,
2010-12,59490.328,
2011-01,41748.839,
2011-02,46592.994,
2011-03,59633.327,
2011-04,44008.323,
2011-05,60871.872,
2011-06,49780.123,
2011-07,36576.470,
2011-08,46534.212,
2011-09,54811.617,
2011-10,33814.223,
2011-11,43517.893,
2011-12,50858.394,
2012-01,33115.085,
2012-02,37434.280,
2012-03,49465.087,
2012-04,45325.550,
2012-05,52452.680,
2012-06,38637.111,
2012-07,30800.449,
2012-08,27343.936,
2012-09,38724.806,
2012-10,31928.924,
2012-11,31101.925,
2012-12,39076.960,
2013-01,28528.592,
2013-02,36806.224,
2013-03,47167.112,
2013-04,46540.991,
2013-05,46070.596,
2013-06,37474.542,
2013-07,31592.896,
2013-08,29822.163,
2013-09,38775.286,
2013-10,35246.769,
2013-11,40879.498,
2013-12,46209.228,
2014-01,31242.363,
2014-02,39515.484,Provisional value
2014-03,64691.253,Provisional value
2014-04,52355.965,Provisional value
2014-05,46178.465,Provisional value
2014-06,40210.399,Provisional value
2014-07,35721.641,Provisional value
2014-08,40728.836,Provisional value
2014-09,60966.620,
2014-10,47771.517,
2014-11,41252.278,
2014-12,56347.384,Provisional value
