"",BBK01.OEAA29L,BBK01.OEAA29L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:27,
2002-01,36.971,
2002-04,36.455,
2002-07,36.624,
2002-10,36.465,
2003-01,38.446,
2003-04,38.373,
2003-07,39.530,
2003-10,38.651,
2004-01,37.959,
2004-04,38.139,
2004-07,38.011,
2004-10,37.801,
2005-01,36.840,
2005-04,36.381,
2005-07,36.099,
2005-10,35.367,
2006-01,34.902,
2006-04,34.025,
2006-07,33.878,
2006-10,33.538,
2007-01,33.033,
2007-04,33.751,
2007-07,34.957,
2007-10,35.141,
2008-01,34.734,
2008-04,34.067,
2008-07,33.587,
2008-10,33.698,
2009-01,33.200,
2009-04,34.739,
2009-07,34.419,
2009-10,34.174,
2010-01,33.903,
2010-04,34.062,
2010-07,33.907,
2010-10,33.488,
2011-01,33.063,
2011-04,32.976,
2011-07,32.831,
2011-10,32.564,
2012-01,32.365,
2012-04,33.796,
2012-07,33.592,
2012-10,33.261,
2013-01,33.091,
2013-04,32.847,
2013-07,32.982,
2013-10,32.716,
2014-01,32.540,
2014-04,32.519,
2014-07,32.775,
