"",BBK01.OEXB10V,BBK01.OEXB10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:33,
2002-01,1.217,
2002-04,1.298,
2002-07,1.236,
2002-10,1.187,
2003-01,1.053,
2003-04,0.833,
2003-07,0.903,
2003-10,0.917,
2004-01,0.938,
2004-04,0.920,
2004-07,0.929,
2004-10,0.877,
2005-01,0.807,
2005-04,0.777,
2005-07,0.624,
2005-10,0.611,
2006-01,0.599,
2006-04,0.610,
2006-07,0.510,
2006-10,0.612,
2007-01,0.557,
2007-04,0.555,
2007-07,0.529,
2007-10,0.521,
2008-01,0.533,
2008-04,0.499,
2008-07,0.515,
2008-10,0.555,
2009-01,0.489,
2009-04,0.511,
2009-07,0.498,
2009-10,0.493,
2010-01,0.418,
2010-04,0.455,
2010-07,0.287,
2010-10,0.280,
2011-01,0.223,
2011-04,0.228,
2011-07,0.282,
2011-10,0.261,
2012-01,0.224,
2012-04,0.218,
2012-07,0.191,
2012-10,0.230,
2013-01,0.190,
2013-04,0.186,
2013-07,0.178,
2013-10,0.177,
2014-01,0.192,
2014-04,0.237,
2014-07,0.222,
