"",BBK01.OELB11L,BBK01.OELB11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:57,
2002-01,0.627,
2002-04,0.612,
2002-07,0.644,
2002-10,0.640,
2003-01,0.610,
2003-04,0.615,
2003-07,0.580,
2003-10,0.585,
2004-01,0.592,
2004-04,0.587,
2004-07,0.615,
2004-10,0.594,
2005-01,0.565,
2005-04,0.567,
2005-07,0.565,
2005-10,0.552,
2006-01,0.534,
2006-04,0.542,
2006-07,0.529,
2006-10,0.526,
2007-01,0.511,
2007-04,0.506,
2007-07,0.504,
2007-10,0.527,
2008-01,0.514,
2008-04,0.556,
2008-07,0.582,
2008-10,0.590,
2009-01,0.605,
2009-04,0.597,
2009-07,0.595,
2009-10,0.598,
2010-01,0.610,
2010-04,0.569,
2010-07,0.571,
2010-10,0.561,
2011-01,0.550,
2011-04,0.548,
2011-07,0.541,
2011-10,0.577,
2012-01,0.560,
2012-04,0.611,
2012-07,0.629,
2012-10,0.675,
2013-01,0.667,
2013-04,0.703,
2013-07,0.762,
2013-10,0.795,
2014-01,0.795,
2014-04,0.839,
2014-07,0.855,
