"",BBDA1.M.DE.N.IM.S.A.O1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.O1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Australia, Oceania and polar regions / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:54,
1993-01,95243,
1993-02,90661,
1993-03,101143,
1993-04,121552,
1993-05,129263,
1993-06,116302,
1993-07,125898,
1993-08,101700,
1993-09,109043,
1993-10,108703,
1993-11,89858,
1993-12,127647,
1994-01,87496,
1994-02,116786,
1994-03,134093,
1994-04,118146,
1994-05,123916,
1994-06,118152,
1994-07,120581,
1994-08,132411,
1994-09,131231,
1994-10,118822,
1994-11,114013,
1994-12,178831,
1995-01,92618,
1995-02,135192,
1995-03,131798,
1995-04,116724,
1995-05,128070,
1995-06,133741,
1995-07,121668,
1995-08,117151,
1995-09,136843,
1995-10,133771,
1995-11,159368,
1995-12,117154,
1996-01,117915,
1996-02,88330,
1996-03,119305,
1996-04,102751,
1996-05,134397,
1996-06,108563,
1996-07,142997,
1996-08,135774,
1996-09,118921,
1996-10,132481,
1996-11,117615,
1996-12,99777,
1997-01,129738,
1997-02,106244,
1997-03,121052,
1997-04,120483,
1997-05,152852,
1997-06,143242,
1997-07,162631,
1997-08,143848,
1997-09,151678,
1997-10,146915,
1997-11,147506,
1997-12,140837,
1998-01,120945,
1998-02,124307,
1998-03,137183,
1998-04,159298,
1998-05,133112,
1998-06,163140,
1998-07,167802,
1998-08,174248,
1998-09,126821,
1998-10,169485,
1998-11,142169,
1998-12,155999,
1999-01,122889,
1999-02,112419,
1999-03,119648,
1999-04,134815,
1999-05,136769,
1999-06,164392,
1999-07,152465,
1999-08,153309,
1999-09,140300,
1999-10,152792,
1999-11,153408,
1999-12,134551,
2000-01,148127,
2000-02,143234,
2000-03,137940,
2000-04,105694,
2000-05,187285,
2000-06,152027,
2000-07,146903,
2000-08,197070,
2000-09,163100,
2000-10,175214,
2000-11,162970,
2000-12,159170,
2001-01,130040,
2001-02,138122,
2001-03,227841,
2001-04,169366,
2001-05,210744,
2001-06,184959,
2001-07,218035,
2001-08,148675,
2001-09,176986,
2001-10,173663,
2001-11,153301,
2001-12,116518,
2002-01,169900,
2002-02,116126,
2002-03,157257,
2002-04,188553,
2002-05,168316,
2002-06,211268,
2002-07,151622,
2002-08,190957,
2002-09,160697,
2002-10,177029,
2002-11,158449,
2002-12,137906,
2003-01,136465,
2003-02,148388,
2003-03,188719,
2003-04,154952,
2003-05,136137,
2003-06,203158,
2003-07,140462,
2003-08,230857,
2003-09,147974,
2003-10,135917,
2003-11,158464,
2003-12,143458,
2004-01,216337,
2004-02,151563,
2004-03,212781,
2004-04,140308,
2004-05,132840,
2004-06,249219,
2004-07,182119,
2004-08,207824,
2004-09,157099,
2004-10,185473,
2004-11,190188,
2004-12,158482,
2005-01,156235,
2005-02,123895,
2005-03,167993,
2005-04,182679,
2005-05,173569,
2005-06,208875,
2005-07,167824,
2005-08,170453,
2005-09,172078,
2005-10,225950,
2005-11,178512,
2005-12,372922,
2006-01,226664,
2006-02,130237,
2006-03,243862,
2006-04,249237,
2006-05,346240,
2006-06,242583,
2006-07,263172,
2006-08,249536,
2006-09,186548,
2006-10,284424,
2006-11,245174,
2006-12,238531,
2007-01,196514,
2007-02,337688,
2007-03,380598,
2007-04,254837,
2007-05,455661,
2007-06,281251,
2007-07,391098,
2007-08,243329,
2007-09,213827,
2007-10,262835,
2007-11,188871,
2007-12,218763,
2008-01,250638,
2008-02,164641,
2008-03,186298,
2008-04,181037,
2008-05,217057,
2008-06,216648,
2008-07,226432,
2008-08,328064,
2008-09,304579,
2008-10,231395,
2008-11,227122,
2008-12,386307,
2009-01,253525,
2009-02,360379,
2009-03,235609,
2009-04,230451,
2009-05,190658,
2009-06,227140,
2009-07,210991,
2009-08,200490,
2009-09,216721,
2009-10,218020,
2009-11,212025,
2009-12,190517,
2010-01,166705,
2010-02,205263,
2010-03,193175,
2010-04,242997,
2010-05,289438,
2010-06,309950,
2010-07,300101,
2010-08,251754,
2010-09,293811,
2010-10,324551,
2010-11,265498,
2010-12,291132,
2011-01,270407,
2011-02,260422,
2011-03,343419,
2011-04,430624,
2011-05,355616,
2011-06,343406,
2011-07,297001,
2011-08,401553,
2011-09,395316,
2011-10,329203,
2011-11,319140,
2011-12,279445,
2012-01,373741,
2012-02,255915,
2012-03,418267,
2012-04,332159,
2012-05,383810,
2012-06,412042,
2012-07,387205,
2012-08,329613,
2012-09,363336,
2012-10,271802,
2012-11,317125,
2012-12,209364,
2013-01,271311,
2013-02,341732,
2013-03,245773,
2013-04,367770,
2013-05,376843,
2013-06,336544,
2013-07,266252,
2013-08,294873,
2013-09,224478,
2013-10,206001,
2013-11,221748,
2013-12,214521,
2014-01,301896,
2014-02,212980,
2014-03,228156,
2014-04,258734,
2014-05,189260,
2014-06,250907,
2014-07,243943,
2014-08,280555,
2014-09,261413,
2014-10,210048,
2014-11,309085,
2014-12,166438,
