"",BBK01.OEAE32T,BBK01.OEAE32T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:14,
2002-01,0.279,
2002-04,0.279,
2002-07,0.274,
2002-10,0.279,
2003-01,0.278,
2003-04,0.277,
2003-07,0.275,
2003-10,0.272,
2004-01,0.260,
2004-04,0.255,
2004-07,0.253,
2004-10,0.251,
2005-01,0.245,
2005-04,0.243,
2005-07,0.243,
2005-10,0.239,
2006-01,0.236,
2006-04,0.235,
2006-07,0.225,
2006-10,0.223,
2007-01,0.211,
2007-04,0.223,
2007-07,0.222,
2007-10,0.216,
2008-01,0.215,
2008-04,0.210,
2008-07,0.209,
2008-10,0.211,
2009-01,0.211,
2009-04,0.207,
2009-07,0.202,
2009-10,0.193,
2010-01,0.198,
2010-04,0.199,
2010-07,0.207,
2010-10,0.214,
2011-01,0.219,
2011-04,0.222,
2011-07,0.217,
2011-10,0.216,
2012-01,0.219,
2012-04,0.221,
2012-07,0.220,
2012-10,0.220,
2013-01,0.222,
2013-04,0.223,
2013-07,0.221,
2013-10,0.223,
2014-01,0.224,
2014-04,0.224,
2014-07,0.220,
