"",BBK01.OEAH58M,BBK01.OEAH58M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:57,
2002-01,24.001,
2002-04,24.486,
2002-07,24.296,
2002-10,25.718,
2003-01,26.330,
2003-04,26.924,
2003-07,27.174,
2003-10,28.035,
2004-01,28.612,
2004-04,28.729,
2004-07,28.383,
2004-10,29.002,
2005-01,31.092,
2005-04,31.297,
2005-07,31.590,
2005-10,31.899,
2006-01,32.422,
2006-04,32.421,
2006-07,31.971,
2006-10,32.254,
2007-01,32.453,
2007-04,33.271,
2007-07,33.112,
2007-10,33.827,
2008-01,34.435,
2008-04,34.653,
2008-07,34.034,
2008-10,35.778,
2009-01,40.841,
2009-04,43.693,
2009-07,44.531,
2009-10,46.709,
2010-01,47.648,
2010-04,48.960,
2010-07,49.261,
2010-10,50.245,
2011-01,50.369,
2011-04,50.821,
2011-07,51.625,
2011-10,52.464,
2012-01,52.792,
2012-04,54.515,
2012-07,56.002,
2012-10,57.641,
2013-01,58.415,
2013-04,60.569,
2013-07,61.260,
2013-10,62.133,
2014-01,63.216,
2014-04,64.768,
2014-07,66.856,
