"",BBK01.OEAE09R,BBK01.OEAE09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:35,
2002-01,0.315,
2002-04,0.314,
2002-07,0.322,
2002-10,0.323,
2003-01,0.431,
2003-04,0.446,
2003-07,0.447,
2003-10,0.455,
2004-01,0.438,
2004-04,0.442,
2004-07,0.454,
2004-10,0.437,
2005-01,0.451,
2005-04,0.467,
2005-07,0.454,
2005-10,0.442,
2006-01,0.452,
2006-04,0.472,
2006-07,0.473,
2006-10,0.460,
2007-01,0.450,
2007-04,0.361,
2007-07,0.365,
2007-10,0.409,
2008-01,0.455,
2008-04,0.435,
2008-07,0.419,
2008-10,0.430,
2009-01,0.443,
2009-04,0.307,
2009-07,0.310,
2009-10,0.299,
2010-01,0.333,
2010-04,0.357,
2010-07,0.355,
2010-10,0.370,
2011-01,0.385,
2011-04,0.395,
2011-07,0.395,
2011-10,0.415,
2012-01,0.408,
2012-04,0.422,
2012-07,0.437,
2012-10,0.441,
2013-01,0.434,
2013-04,0.408,
2013-07,0.353,
2013-10,0.355,
2014-01,0.354,
2014-04,0.337,
2014-07,0.334,
