"",BBK01.OEXL02K,BBK01.OEXL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:54,
2002-01,2.266,
2002-04,2.302,
2002-07,2.355,
2002-10,2.456,
2003-01,2.433,
2003-04,2.610,
2003-07,2.913,
2003-10,2.799,
2004-01,3.226,
2004-04,3.279,
2004-07,3.241,
2004-10,2.877,
2005-01,3.236,
2005-04,3.228,
2005-07,3.184,
2005-10,3.132,
2006-01,3.208,
2006-04,3.197,
2006-07,2.978,
2006-10,3.063,
2007-01,3.091,
2007-04,3.332,
2007-07,3.346,
2007-10,3.565,
2008-01,3.641,
2008-04,3.321,
2008-07,3.415,
2008-10,3.681,
2009-01,3.788,
2009-04,3.992,
2009-07,4.106,
2009-10,4.373,
2010-01,4.537,
2010-04,4.590,
2010-07,4.374,
2010-10,4.726,
2011-01,4.760,
2011-04,4.899,
2011-07,5.119,
2011-10,5.098,
2012-01,5.726,
2012-04,6.851,
2012-07,6.772,
2012-10,7.084,
2013-01,7.340,
2013-04,7.660,
2013-07,7.688,
2013-10,8.071,
2014-01,7.898,
2014-04,8.043,
2014-07,8.001,
