"",BBK01.OECJ01U,BBK01.OECJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:15,
2002-01,0.775,
2002-04,0.769,
2002-07,0.877,
2002-10,0.861,
2003-01,0.775,
2003-04,0.711,
2003-07,0.723,
2003-10,0.800,
2004-01,0.802,
2004-04,0.764,
2004-07,0.816,
2004-10,0.829,
2005-01,0.801,
2005-04,0.804,
2005-07,0.850,
2005-10,0.955,
2006-01,0.842,
2006-04,0.813,
2006-07,0.865,
2006-10,0.927,
2007-01,0.868,
2007-04,0.874,
2007-07,0.937,
2007-10,1.090,
2008-01,1.085,
2008-04,1.053,
2008-07,1.101,
2008-10,1.001,
2009-01,0.925,
2009-04,1.050,
2009-07,1.047,
2009-10,1.032,
2010-01,1.047,
2010-04,1.022,
2010-07,1.036,
2010-10,1.085,
2011-01,1.085,
2011-04,1.135,
2011-07,1.182,
2011-10,1.396,
2012-01,1.326,
2012-04,1.198,
2012-07,1.167,
2012-10,1.201,
2013-01,0.999,
2013-04,1.038,
2013-07,1.105,
2013-10,1.174,
2014-01,1.041,
2014-04,1.088,
2014-07,1.149,
