"",BBK01.OEHL04H,BBK01.OEHL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:47,
2002-01,5.994,
2002-04,5.819,
2002-07,5.777,
2002-10,5.634,
2003-01,5.511,
2003-04,5.376,
2003-07,5.115,
2003-10,4.769,
2004-01,4.518,
2004-04,4.168,
2004-07,3.944,
2004-10,3.775,
2005-01,3.710,
2005-04,3.613,
2005-07,3.527,
2005-10,3.471,
2006-01,3.504,
2006-04,3.612,
2006-07,3.742,
2006-10,3.949,
2007-01,4.153,
2007-04,4.465,
2007-07,4.820,
2007-10,5.295,
2008-01,5.847,
2008-04,6.390,
2008-07,7.016,
2008-10,8.344,
2009-01,6.412,
2009-04,4.539,
2009-07,3.621,
2009-10,3.331,
2010-01,2.818,
2010-04,2.617,
2010-07,2.487,
2010-10,2.488,
2011-01,2.134,
2011-04,1.845,
2011-07,1.921,
2011-10,2.026,
2012-01,1.958,
2012-04,1.766,
2012-07,1.564,
2012-10,1.443,
2013-01,1.388,
2013-04,1.337,
2013-07,1.294,
2013-10,1.218,
2014-01,1.165,
2014-04,1.074,
2014-07,0.987,
