"",BBFB1.Q.N.DE.A1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:17,
1991-01,479.629,
1991-04,543.579,
1991-07,352.205,
1991-10,579.366,
1992-01,268.360,
1992-04,743.051,
1992-07,744.429,
1992-10,766.571,
1993-01,741.081,
1993-04,813.532,
1993-07,820.953,
1993-10,844.517,
1994-01,1379.939,
1994-04,1300.239,
1994-07,1305.712,
1994-10,1309.779,
1995-01,378.051,
1995-04,369.723,
1995-07,273.284,
1995-10,371.490,
1996-01,1139.085,
1996-04,1189.020,
1996-07,1209.575,
1996-10,1342.018,
1997-01,1628.588,
1997-04,1719.925,
1997-07,1588.696,
1997-10,1671.078,
1998-01,526.538,
1998-04,727.817,
1998-07,529.272,
1998-10,613.133,
1999-01,822.031,
1999-04,928.747,
1999-07,896.511,
1999-10,967.630,
2000-01,1378.173,
2000-04,1652.477,
2000-07,1639.340,
2000-10,2134.111,
2001-01,2770.184,
2001-04,3204.409,
2001-07,3180.118,
2001-10,3132.992,
2002-01,4486.527,
2002-04,4700.959,
2002-07,4806.565,
2002-10,4963.961,
2003-01,3104.053,
2003-04,3429.069,
2003-07,2914.617,
2003-10,2798.752,
2004-01,1378.832,
2004-04,1351.952,
2004-07,1120.003,
2004-10,1166.920,
2005-01,2831.840,
2005-04,3029.060,
2005-07,2928.046,
2005-10,2859.774,
2006-01,826.177,
2006-04,1182.842,
2006-07,711.692,
2006-10,723.846,
2007-01,2103.803,
2007-04,3010.386,
2007-07,2075.317,
2007-10,2028.551,
2008-01,1420.002,
2008-04,2235.199,
2008-07,1201.491,
2008-10,1081.841,
2009-01,1660.478,
2009-04,1977.666,
2009-07,1101.463,
2009-10,1242.163,
2010-01,1389.593,
2010-04,2192.138,
2010-07,1668.891,
2010-10,1665.918,
2011-01,2039.408,
2011-04,2978.795,
2011-07,2112.074,
2011-10,2064.386,
2012-01,1829.195,
2012-04,2835.488,
2012-07,1962.050,
2012-10,1651.171,
2013-01,1576.503,
2013-04,2374.867,
2013-07,1508.857,
2013-10,1478.828,
2014-01,2485.324,Provisional value
2014-04,3178.833,Provisional value
2014-07,2512.780,Provisional value
