"",BBK01.OELJ03G,BBK01.OELJ03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:31,
2002-01,4.359,
2002-04,4.322,
2002-07,4.364,
2002-10,4.243,
2003-01,4.139,
2003-04,4.043,
2003-07,3.963,
2003-10,4.110,
2004-01,3.915,
2004-04,4.007,
2004-07,4.053,
2004-10,4.208,
2005-01,3.909,
2005-04,4.225,
2005-07,4.111,
2005-10,4.541,
2006-01,4.314,
2006-04,4.480,
2006-07,4.561,
2006-10,4.906,
2007-01,4.715,
2007-04,5.064,
2007-07,5.271,
2007-10,5.415,
2008-01,5.471,
2008-04,5.477,
2008-07,5.760,
2008-10,5.689,
2009-01,4.879,
2009-04,4.579,
2009-07,4.347,
2009-10,4.383,
2010-01,4.100,
2010-04,4.092,
2010-07,4.215,
2010-10,4.452,
2011-01,4.399,
2011-04,4.494,
2011-07,4.828,
2011-10,4.829,
2012-01,4.311,
2012-04,4.164,
2012-07,4.184,
2012-10,4.113,
2013-01,3.860,
2013-04,3.768,
2013-07,3.883,
2013-10,3.996,
2014-01,3.869,
2014-04,3.804,
2014-07,3.757,
