"",BBK01.OELB18S,BBK01.OELB18S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:26,
2002-01,0.065,
2002-04,0.069,
2002-07,0.070,
2002-10,0.072,
2003-01,0.073,
2003-04,0.072,
2003-07,0.071,
2003-10,0.071,
2004-01,0.061,
2004-04,0.064,
2004-07,0.065,
2004-10,0.063,
2005-01,0.060,
2005-04,0.060,
2005-07,0.062,
2005-10,0.057,
2006-01,0.059,
2006-04,0.059,
2006-07,0.057,
2006-10,0.055,
2007-01,0.053,
2007-04,0.049,
2007-07,0.053,
2007-10,0.051,
2008-01,0.048,
2008-04,0.050,
2008-07,0.050,
2008-10,0.050,
2009-01,0.049,
2009-04,0.049,
2009-07,0.052,
2009-10,0.049,
2010-01,0.051,
2010-04,0.051,
2010-07,0.052,
2010-10,0.049,
2011-01,0.049,
2011-04,0.050,
2011-07,0.051,
2011-10,0.048,
2012-01,0.048,
2012-04,0.048,
2012-07,0.046,
2012-10,0.042,
2013-01,0.045,
2013-04,0.045,
2013-07,0.048,
2013-10,0.046,
2014-01,0.048,
2014-04,0.047,
2014-07,0.045,
