"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.AT.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.AT.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Austria / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:57,
2009-09,666,
2009-10,620,
2009-11,634,
2009-12,605,
2010-01,628,
2010-02,618,
2010-03,658,
2010-04,656,
2010-05,642,
2010-06,702,
2010-07,712,
2010-08,708,
2010-09,745,
2010-10,732,
2010-11,736,
2010-12,720,
2011-01,738,
2011-02,706,
2011-03,648,
2011-04,652,
2011-05,610,
2011-06,564,
2011-07,613,
2011-08,603,
2011-09,591,
2011-10,574,
2011-11,525,
2011-12,511,
2012-01,447,
2012-02,467,
2012-03,495,
2012-04,513,
2012-05,526,
2012-06,523,
2012-07,543,
2012-08,527,
2012-09,532,
2012-10,559,
2012-11,568,
2012-12,574,
2013-01,589,
2013-02,615,
2013-03,622,
2013-04,658,
2013-05,665,
2013-06,651,
2013-07,631,
2013-08,639,
2013-09,618,
2013-10,652,
2013-11,652,
2013-12,621,
2014-01,645,
2014-02,629,
2014-03,535,
2014-04,561,
2014-05,637,
2014-06,618,
2014-07,579,
2014-08,598,
2014-09,629,
2014-10,650,
2014-11,580,
