"",BBK01.OEHK01H,BBK01.OEHK01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:23,
2002-01,6.170,
2002-04,6.199,
2002-07,6.393,
2002-10,6.508,
2003-01,6.535,
2003-04,6.460,
2003-07,6.584,
2003-10,6.455,
2004-01,6.391,
2004-04,6.374,
2004-07,6.384,
2004-10,6.435,
2005-01,6.393,
2005-04,6.539,
2005-07,6.583,
2005-10,6.795,
2006-01,6.656,
2006-04,6.732,
2006-07,6.929,
2006-10,7.388,
2007-01,7.433,
2007-04,7.609,
2007-07,7.845,
2007-10,8.437,
2008-01,8.372,
2008-04,8.453,
2008-07,8.726,
2008-10,9.611,
2009-01,9.299,
2009-04,9.096,
2009-07,9.087,
2009-10,9.306,
2010-01,9.176,
2010-04,9.363,
2010-07,9.568,
2010-10,9.915,
2011-01,9.816,
2011-04,10.085,
2011-07,10.120,
2011-10,10.707,
2012-01,10.564,
2012-04,10.580,
2012-07,10.865,
2012-10,11.154,
2013-01,11.117,
2013-04,11.186,
2013-07,11.593,
2013-10,11.934,
2014-01,11.948,
2014-04,11.951,
2014-07,12.224,
