"",BBK01.OEHB10S,BBK01.OEHB10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:13,
2002-01,0.260,
2002-04,0.260,
2002-07,0.253,
2002-10,0.245,
2003-01,0.241,
2003-04,0.241,
2003-07,0.233,
2003-10,0.205,
2004-01,0.229,
2004-04,0.224,
2004-07,0.227,
2004-10,0.182,
2005-01,0.205,
2005-04,0.202,
2005-07,0.195,
2005-10,0.188,
2006-01,0.198,
2006-04,0.193,
2006-07,0.177,
2006-10,0.163,
2007-01,0.170,
2007-04,0.168,
2007-07,0.163,
2007-10,0.156,
2008-01,0.177,
2008-04,0.181,
2008-07,0.169,
2008-10,0.158,
2009-01,0.180,
2009-04,0.190,
2009-07,0.234,
2009-10,0.169,
2010-01,0.176,
2010-04,0.165,
2010-07,0.155,
2010-10,0.151,
2011-01,0.162,
2011-04,0.172,
2011-07,0.166,
2011-10,0.166,
2012-01,0.161,
2012-04,0.170,
2012-07,0.191,
2012-10,0.183,
2013-01,0.176,
2013-04,0.173,
2013-07,0.161,
2013-10,0.163,
2014-01,0.149,
2014-04,0.163,
2014-07,0.154,
