"",BBK01.OEXI01G,BBK01.OEXI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:28,
2002-01,81.175,
2002-04,83.727,
2002-07,83.391,
2002-10,88.080,
2003-01,90.568,
2003-04,92.018,
2003-07,92.445,
2003-10,96.059,
2004-01,96.227,
2004-04,95.166,
2004-07,95.256,
2004-10,98.933,
2005-01,26.453,
2005-04,26.723,
2005-07,14.706,
2005-10,15.759,
2006-01,15.558,
2006-04,15.499,
2006-07,15.067,
2006-10,14.915,
2007-01,15.769,
2007-04,16.397,
2007-07,16.985,
2007-10,18.106,
2008-01,19.007,
2008-04,19.901,
2008-07,21.069,
2008-10,22.780,
2009-01,28.121,
2009-04,29.585,
2009-07,28.486,
2009-10,28.303,
2010-01,28.778,
2010-04,28.027,
2010-07,28.154,
2010-10,28.787,
2011-01,28.975,
2011-04,29.761,
2011-07,31.792,
2011-10,32.745,
2012-01,32.560,
2012-04,34.072,
2012-07,34.770,
2012-10,35.472,
2013-01,34.263,
2013-04,34.025,
2013-07,34.211,
2013-10,35.376,
2014-01,35.918,
2014-04,36.320,
2014-07,36.890,
