"",BBK01.OEAB01H,BBK01.OEAB01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:31,
2002-01,538.522,
2002-04,532.156,
2002-07,532.519,
2002-10,525.615,
2003-01,518.282,
2003-04,511.558,
2003-07,508.161,
2003-10,515.062,
2004-01,506.814,
2004-04,500.753,
2004-07,499.549,
2004-10,488.829,
2005-01,491.743,
2005-04,489.104,
2005-07,488.929,
2005-10,482.135,
2006-01,491.272,
2006-04,484.304,
2006-07,488.595,
2006-10,476.884,
2007-01,491.494,
2007-04,483.776,
2007-07,486.559,
2007-10,472.366,
2008-01,502.638,
2008-04,514.020,
2008-07,518.897,
2008-10,495.960,
2009-01,496.102,
2009-04,463.647,
2009-07,479.275,
2009-10,468.453,
2010-01,466.116,
2010-04,473.371,
2010-07,470.608,
2010-10,524.552,
2011-01,493.831,
2011-04,484.368,
2011-07,487.141,
2011-10,481.054,
2012-01,481.011,
2012-04,481.758,
2012-07,489.447,
2012-10,480.207,
2013-01,483.941,
2013-04,478.646,
2013-07,462.661,
2013-10,455.765,
2014-01,456.037,
2014-04,459.281,
2014-07,465.151,
