"",BBK01.OELK03U,BBK01.OELK03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:28,
2002-01,0.068,
2002-04,0.064,
2002-07,0.065,
2002-10,0.064,
2003-01,0.062,
2003-04,0.063,
2003-07,0.058,
2003-10,0.055,
2004-01,0.054,
2004-04,0.052,
2004-07,0.053,
2004-10,0.055,
2005-01,0.055,
2005-04,0.055,
2005-07,0.054,
2005-10,0.060,
2006-01,0.063,
2006-04,0.064,
2006-07,0.064,
2006-10,0.066,
2007-01,0.064,
2007-04,0.067,
2007-07,0.063,
2007-10,0.064,
2008-01,0.069,
2008-04,0.068,
2008-07,0.069,
2008-10,0.072,
2009-01,0.059,
2009-04,0.051,
2009-07,0.045,
2009-10,0.041,
2010-01,0.038,
2010-04,0.038,
2010-07,0.036,
2010-10,0.037,
2011-01,0.037,
2011-04,0.036,
2011-07,0.036,
2011-10,0.038,
2012-01,0.041,
2012-04,0.040,
2012-07,0.038,
2012-10,0.038,
2013-01,0.036,
2013-04,0.036,
2013-07,0.038,
2013-10,0.035,
2014-01,0.036,
2014-04,0.034,
2014-07,0.031,
