"",BBK01.OEAC48P,BBK01.OEAC48P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:45,
2002-01,0.118,
2002-04,0.118,
2002-07,0.103,
2002-10,0.124,
2003-01,0.122,
2003-04,0.126,
2003-07,0.123,
2003-10,0.145,
2004-01,0.136,
2004-04,0.151,
2004-07,0.164,
2004-10,0.163,
2005-01,0.167,
2005-04,0.165,
2005-07,0.161,
2005-10,0.162,
2006-01,0.165,
2006-04,0.170,
2006-07,0.177,
2006-10,0.185,
2007-01,0.218,
2007-04,0.224,
2007-07,0.231,
2007-10,0.243,
2008-01,0.264,
2008-04,0.295,
2008-07,0.312,
2008-10,0.342,
2009-01,0.377,
2009-04,0.409,
2009-07,0.417,
2009-10,0.430,
2010-01,0.464,
2010-04,0.536,
2010-07,0.560,
2010-10,0.549,
2011-01,0.567,
2011-04,0.611,
2011-07,0.781,
2011-10,0.645,
2012-01,0.670,
2012-04,0.735,
2012-07,0.767,
2012-10,0.792,
2013-01,0.816,
2013-04,0.846,
2013-07,0.867,
2013-10,0.916,
2014-01,0.934,
2014-04,0.922,
2014-07,0.909,
