"",BBK01.OEHI08T,BBK01.OEHI08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:12,
2002-01,6.265,
2002-04,6.241,
2002-07,6.261,
2002-10,6.436,
2003-01,6.534,
2003-04,6.628,
2003-07,6.706,
2003-10,6.828,
2004-01,6.880,
2004-04,6.849,
2004-07,6.802,
2004-10,6.923,
2005-01,6.946,
2005-04,6.928,
2005-07,6.989,
2005-10,7.078,
2006-01,7.085,
2006-04,7.040,
2006-07,6.961,
2006-10,6.940,
2007-01,6.905,
2007-04,6.816,
2007-07,6.699,
2007-10,6.710,
2008-01,6.623,
2008-04,6.586,
2008-07,6.492,
2008-10,6.503,
2009-01,6.616,
2009-04,6.626,
2009-07,6.722,
2009-10,6.905,
2010-01,7.120,
2010-04,7.256,
2010-07,7.337,
2010-10,7.559,
2011-01,7.640,
2011-04,7.659,
2011-07,7.600,
2011-10,7.645,
2012-01,7.692,
2012-04,7.704,
2012-07,7.740,
2012-10,7.867,
2013-01,8.012,
2013-04,8.029,
2013-07,8.071,
2013-10,8.148,
2014-01,8.144,
2014-04,8.167,
2014-07,8.182,
