"",BBSF2.M.1.T.00000.DRE01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DRE01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:31,
2009-09,4234,
2009-10,4278,
2009-11,4404,
2009-12,4462,
2010-01,4540,
2010-02,4677,
2010-03,4890,
2010-04,5056,
2010-05,4969,
2010-06,4950,
2010-07,5004,
2010-08,5078,
2010-09,5266,
2010-10,5437,
2010-11,5566,
2010-12,5716,
2011-01,5761,
2011-02,5822,
2011-03,5778,
2011-04,5847,
2011-05,6162,
2011-06,6121,
2011-07,6223,
2011-08,6106,
2011-09,6163,
2011-10,6342,
2011-11,6281,
2011-12,6581,
2012-01,6824,
2012-02,6787,
2012-03,6855,
2012-04,6993,
2012-05,6945,
2012-06,7064,
2012-07,7335,
2012-08,7115,
2012-09,7205,
2012-10,7194,
2012-11,7319,
2012-12,7416,
2013-01,7605,
2013-02,7674,
2013-03,7746,
2013-04,8023,
2013-05,8048,
2013-06,7658,
2013-07,7718,
2013-08,7587,
2013-09,7623,
2013-10,7904,
2013-11,7984,
2013-12,7977,
2014-01,8003,
2014-02,8109,
2014-03,8233,
2014-04,3001,
2014-05,3063,
2014-06,3088,
2014-07,3185,
2014-08,3224,
2014-09,3035,
2014-10,3065,
2014-11,3106,
