"",BBNZ1.Q.DE.Y.H.0087.A,BBNZ1.Q.DE.Y.H.0087.A_FLAGS
"",Germany / National accounts / Origin of GDP / Information and communication / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:41,
1991-01,36.73,
1991-04,35.99,
1991-07,34.70,
1991-10,36.91,
1992-01,37.98,
1992-04,38.58,
1992-07,38.91,
1992-10,38.97,
1993-01,41.22,
1993-04,41.66,
1993-07,41.97,
1993-10,42.15,
1994-01,40.75,
1994-04,41.09,
1994-07,42.02,
1994-10,42.72,
1995-01,42.83,
1995-04,43.75,
1995-07,44.46,
1995-10,45.46,
1996-01,44.91,
1996-04,45.92,
1996-07,47.28,
1996-10,48.78,
1997-01,49.64,
1997-04,50.79,
1997-07,51.40,
1997-10,51.83,
1998-01,56.94,
1998-04,57.78,
1998-07,58.70,
1998-10,60.07,
1999-01,60.47,
1999-04,61.80,
1999-07,63.61,
1999-10,65.52,
2000-01,64.79,
2000-04,67.16,
2000-07,69.33,
2000-10,70.36,
2001-01,73.98,
2001-04,74.76,
2001-07,75.15,
2001-10,77.25,
2002-01,78.60,
2002-04,78.58,
2002-07,78.45,
2002-10,79.71,
2003-01,71.79,
2003-04,71.34,
2003-07,72.14,
2003-10,72.76,
2004-01,76.87,
2004-04,77.57,
2004-07,77.50,
2004-10,78.56,
2005-01,74.33,
2005-04,77.03,
2005-07,77.11,
2005-10,77.66,
2006-01,81.50,
2006-04,83.10,
2006-07,84.55,
2006-10,86.56,
2007-01,94.22,
2007-04,93.17,
2007-07,95.73,
2007-10,97.15,
2008-01,99.77,
2008-04,100.32,
2008-07,101.08,
2008-10,102.32,
2009-01,96.96,
2009-04,99.39,
2009-07,100.20,
2009-10,102.23,
2010-01,98.77,
2010-04,99.26,
2010-07,100.30,
2010-10,101.26,
2011-01,109.50,
2011-04,110.77,
2011-07,111.21,
2011-10,112.25,
2012-01,115.56,
2012-04,116.37,
2012-07,117.65,
2012-10,117.86,
2013-01,117.22,
2013-04,117.76,
2013-07,118.74,
2013-10,119.28,
2014-01,119.83,
2014-04,120.54,
2014-07,121.84,
2014-10,120.94,
