"",BBK01.OEAB07P,BBK01.OEAB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:51,
2002-01,1.537,
2002-04,1.523,
2002-07,1.529,
2002-10,1.488,
2003-01,1.455,
2003-04,1.475,
2003-07,1.472,
2003-10,1.460,
2004-01,1.417,
2004-04,1.457,
2004-07,1.403,
2004-10,1.414,
2005-01,1.426,
2005-04,1.487,
2005-07,1.433,
2005-10,1.405,
2006-01,1.438,
2006-04,1.447,
2006-07,1.457,
2006-10,1.522,
2007-01,1.495,
2007-04,1.461,
2007-07,1.475,
2007-10,1.548,
2008-01,1.564,
2008-04,1.585,
2008-07,1.603,
2008-10,1.578,
2009-01,1.562,
2009-04,1.598,
2009-07,1.650,
2009-10,1.766,
2010-01,1.760,
2010-04,1.686,
2010-07,1.759,
2010-10,1.801,
2011-01,1.878,
2011-04,1.988,
2011-07,2.289,
2011-10,2.359,
2012-01,2.427,
2012-04,2.576,
2012-07,2.574,
2012-10,2.539,
2013-01,2.554,
2013-04,2.468,
2013-07,2.489,
2013-10,2.474,
2014-01,2.447,
2014-04,2.421,
2014-07,2.386,
