"",BBK01.OEHL02J,BBK01.OEHL02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:34,
2002-01,0.971,
2002-04,0.974,
2002-07,0.924,
2002-10,0.972,
2003-01,0.971,
2003-04,0.964,
2003-07,0.943,
2003-10,0.969,
2004-01,0.987,
2004-04,0.991,
2004-07,1.070,
2004-10,1.008,
2005-01,1.015,
2005-04,1.050,
2005-07,1.057,
2005-10,1.076,
2006-01,1.125,
2006-04,1.153,
2006-07,1.119,
2006-10,1.123,
2007-01,1.148,
2007-04,1.178,
2007-07,1.171,
2007-10,1.211,
2008-01,1.226,
2008-04,1.288,
2008-07,1.238,
2008-10,1.293,
2009-01,1.391,
2009-04,1.460,
2009-07,1.539,
2009-10,1.645,
2010-01,1.663,
2010-04,1.668,
2010-07,1.673,
2010-10,1.689,
2011-01,1.655,
2011-04,1.686,
2011-07,1.681,
2011-10,1.705,
2012-01,1.737,
2012-04,1.804,
2012-07,1.844,
2012-10,1.921,
2013-01,1.963,
2013-04,2.007,
2013-07,2.044,
2013-10,2.089,
2014-01,2.172,
2014-04,2.198,
2014-07,2.168,
