"",BBFN1.M.DE.N.1.A.B0.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1981-10,3.445,
1981-11,3.325,
1981-12,2.869,
1982-01,3.542,
1982-02,4.052,
1982-03,4.171,
1982-04,4.083,
1982-05,4.385,
1982-06,4.238,
1982-07,4.151,
1982-08,4.002,
1982-09,3.765,
1982-10,4.108,
1982-11,4.249,
1982-12,3.978,
1983-01,4.226,
1983-02,4.030,
1983-03,4.006,
1983-04,4.218,
1983-05,4.290,
1983-06,4.495,
1983-07,4.278,
1983-08,4.387,
1983-09,4.334,
1983-10,4.656,
1983-11,4.503,
1983-12,4.141,
1984-01,5.222,
1984-02,5.860,
1984-03,6.685,
1984-04,6.461,
1984-05,6.927,
1984-06,5.619,
1984-07,5.633,
1984-08,6.042,
1984-09,5.958,
1984-10,6.374,
1984-11,6.725,
1984-12,6.772,
1985-01,7.621,
1985-02,8.027,
1985-03,8.740,
1985-04,9.289,
1985-05,9.506,
1985-06,9.832,
1985-07,9.674,
1985-08,9.176,
1985-09,9.051,
1985-10,11.129,
1985-11,10.099,
1985-12,9.729,
1986-01,13.702,
1986-02,14.755,
1986-03,19.360,
1986-04,22.501,
1986-05,23.263,
1986-06,21.711,
1986-07,23.349,
1986-08,23.049,
1986-09,22.397,
1986-10,25.272,
1986-11,24.955,
1986-12,22.274,
1987-01,25.359,
1987-02,25.797,
1987-03,25.799,
1987-04,27.273,
1987-05,26.590,
1987-06,26.324,
1987-07,28.032,
1987-08,27.994,
1987-09,27.226,
1987-10,29.091,
1987-11,27.634,
1987-12,25.170,
1988-01,28.099,
1988-02,27.881,
1988-03,29.689,
1988-04,30.076,
1988-05,31.164,
1988-06,29.707,
1988-07,29.689,
1988-08,29.705,
1988-09,28.438,
1988-10,28.559,
1988-11,27.374,
1988-12,26.024,
1989-01,31.786,
1989-02,33.284,
1989-03,32.494,
1989-04,34.847,
1989-05,36.538,
1989-06,35.975,
1989-07,35.877,
1989-08,36.309,
1989-09,36.206,
1989-10,43.041,
1989-11,43.609,
1989-12,38.833,
1990-01,45.370,
1990-02,45.580,
1990-03,47.546,
1990-04,48.193,
1990-05,48.079,
1990-06,47.521,
1990-07,48.544,
1990-08,49.166,
1990-09,49.020,
1990-10,51.750,
1990-11,51.738,
1990-12,49.085,
1991-01,54.121,
1991-02,54.578,
1991-03,57.262,
1991-04,59.775,
1991-05,59.020,
1991-06,57.043,
1991-07,58.209,
1991-08,55.787,
1991-09,53.532,
1991-10,58.554,
1991-11,57.440,
1991-12,52.990,
1992-01,57.432,
1992-02,58.425,
1992-03,58.556,
1992-04,59.812,
1992-05,59.736,
1992-06,59.218,
1992-07,58.021,
1992-08,56.204,
1992-09,54.997,
1992-10,61.504,
1992-11,61.092,
1992-12,56.761,
1993-01,63.528,
1993-02,66.334,
1993-03,67.428,
1993-04,70.676,
1993-05,69.697,
1993-06,68.222,
1993-07,73.336,
1993-08,69.602,
1993-09,71.583,
1993-10,82.497,
1993-11,83.231,
1993-12,78.052,
1994-01,86.863,
1994-02,82.826,
1994-03,86.115,
1994-04,85.341,
1994-05,84.975,
1994-06,82.410,
1994-07,85.379,
1994-08,86.360,
1994-09,86.977,
1994-10,92.519,
1994-11,94.812,
1994-12,90.253,
1995-01,98.754,
1995-02,97.314,
1995-03,97.856,
1995-04,100.615,
1995-05,101.652,
1995-06,100.320,
1995-07,100.322,
1995-08,95.946,
1995-09,96.114,
1995-10,97.913,
1995-11,96.289,
1995-12,86.529,
1996-01,92.412,
1996-02,93.774,
1996-03,97.920,
1996-04,103.429,
1996-05,105.142,
1996-06,99.593,
1996-07,96.892,
1996-08,95.145,
1996-09,94.814,
1996-10,97.273,
1996-11,99.602,
1996-12,96.801,
1997-01,105.120,
1997-02,109.341,
1997-03,107.472,
1997-04,111.596,
1997-05,111.359,
1997-06,106.149,
1997-07,110.146,
1997-08,104.071,
1997-09,103.027,
1997-10,107.348,
1997-11,101.787,
1997-12,93.143,
1998-01,108.163,
1998-02,112.035,
1998-03,116.018,
1998-04,125.545,
1998-05,127.997,
1998-06,119.238,
1998-07,119.328,
1998-08,113.480,
1998-09,116.190,
1998-10,120.214,
1998-11,114.943,
1998-12,99.873,
1999-01,94.400,
1999-02,98.167,
1999-03,101.797,
1999-04,105.622,
1999-05,106.850,
1999-06,107.947,
1999-07,105.953,
1999-08,104.906,
1999-09,105.299,
1999-10,100.431,
1999-11,101.561,
1999-12,90.563,
2000-01,98.346,
2000-02,103.488,
2000-03,113.108,
2000-04,113.823,
2000-05,113.155,
2000-06,114.347,
2000-07,110.185,
2000-08,125.594,
2000-09,113.060,
2000-10,119.647,
2000-11,110.517,
2000-12,102.017,
2001-01,123.072,
2001-02,133.965,
2001-03,135.911,
2001-04,138.324,
2001-05,126.739,
2001-06,127.460,
2001-07,128.321,
2001-08,124.515,
2001-09,115.507,
2001-10,116.932,
2001-11,115.157,
2001-12,116.419,
2002-01,130.469,
2002-02,131.191,
2002-03,131.719,
2002-04,141.355,
2002-05,144.842,
2002-06,131.492,
2002-07,131.033,
2002-08,132.201,
2002-09,136.008,
2002-10,138.443,
2002-11,129.560,
2002-12,118.901,
2003-01,134.328,
2003-02,140.049,
2003-03,147.357,
2003-04,159.261,
2003-05,161.990,
2003-06,156.010,
2003-07,162.333,
2003-08,153.433,
2003-09,154.193,
2003-10,155.945,
2003-11,150.645,
2003-12,143.913,
2004-01,162.285,
2004-02,161.180,
2004-03,165.344,
2004-04,162.194,
2004-05,159.818,
2004-06,161.630,
2004-07,163.873,
2004-08,165.716,
2004-09,167.188,
2004-10,167.133,
2004-11,158.671,
2004-12,155.264,
2005-01,160.134,
2005-02,164.150,
2005-03,171.545,
2005-04,167.122,
2005-05,166.900,
2005-06,161.123,
2005-07,165.369,
2005-08,166.442,
2005-09,171.987,
2005-10,174.069,
2005-11,168.191,
2005-12,155.999,
2006-01,161.841,
2006-02,171.220,
2006-03,174.426,
2006-04,178.773,
2006-05,174.880,
2006-06,170.792,
2006-07,166.724,
2006-08,172.765,
2006-09,177.356,
2006-10,176.668,
2006-11,175.190,
2006-12,164.141,
2007-01,176.085,
2007-02,183.848,
2007-03,186.325,
2007-04,185.192,
2007-05,179.563,
2007-06,181.462,
2007-07,184.478,
2007-08,181.805,
2007-09,178.348,
2007-10,189.464,
2007-11,182.919,
2007-12,166.871,
2008-01,184.298,
2008-02,181.470,
2008-03,189.786,
2008-04,189.380,
2008-05,183.761,
2008-06,182.627,
2008-07,186.699,
2008-08,183.822,
2008-09,188.115,
2008-10,181.338,
2008-11,178.886,
2008-12,184.254,
2009-01,188.948,
2009-02,186.778,
2009-03,207.820,
2009-04,206.504,
2009-05,201.683,
2009-06,208.792,
2009-07,202.056,
2009-08,198.472,
2009-09,200.021,
2009-10,202.562,
2009-11,197.991,
2009-12,205.702,
2010-01,198.054,
2010-02,201.966,
2010-03,207.373,
2010-04,212.325,
2010-05,211.504,
2010-06,211.849,
2010-07,220.806,
2010-08,224.271,
2010-09,224.981,
2010-10,228.880,
2010-11,228.759,
2010-12,214.105,
2011-01,230.007,
2011-02,230.063,
2011-03,231.455,
2011-04,229.756,
2011-05,243.237,
2011-06,242.176,
2011-07,253.440,
2011-08,267.615,
2011-09,272.875,
2011-10,278.660,
2011-11,272.478,
2011-12,243.796,
2012-01,271.825,
2012-02,267.962,
2012-03,273.030,
2012-04,264.730,
2012-05,274.284,
2012-06,287.366,
2012-07,283.037,
2012-08,269.952,
2012-09,281.352,
2012-10,271.365,
2012-11,275.718,
2012-12,261.660,
2013-01,283.311,
2013-02,285.460,
2013-03,291.947,
2013-04,290.200,
2013-05,287.423,
2013-06,301.348,
2013-07,285.083,
2013-08,280.122,
2013-09,283.033,
2013-10,286.591,
2013-11,284.269,
2013-12,275.681,
2014-01,283.652,
2014-02,286.255,
2014-03,305.804,
2014-04,298.790,
2014-05,314.893,
2014-06,304.186,
2014-07,296.909,
2014-08,307.216,
2014-09,309.405,
2014-10,300.044,
2014-11,298.561,
2014-12,277.979,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
