"",BBK01.OEBJ03L,BBK01.OEBJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:18,
2002-01,40.433,
2002-04,43.888,
2002-07,46.304,
2002-10,45.571,
2003-01,45.777,
2003-04,47.651,
2003-07,53.430,
2003-10,50.971,
2004-01,47.662,
2004-04,48.700,
2004-07,48.960,
2004-10,51.854,
2005-01,52.262,
2005-04,57.260,
2005-07,57.869,
2005-10,57.675,
2006-01,67.481,
2006-04,67.270,
2006-07,69.494,
2006-10,65.215,
2007-01,65.023,
2007-04,67.734,
2007-07,73.137,
2007-10,82.275,
2008-01,83.196,
2008-04,83.154,
2008-07,78.159,
2008-10,95.362,
2009-01,93.479,
2009-04,88.656,
2009-07,90.952,
2009-10,87.657,
2010-01,85.912,
2010-04,86.667,
2010-07,88.937,
2010-10,113.781,
2011-01,104.836,
2011-04,124.274,
2011-07,117.706,
2011-10,116.351,
2012-01,106.636,
2012-04,104.948,
2012-07,99.406,
2012-10,101.199,
2013-01,106.286,
2013-04,119.435,
2013-07,86.728,
2013-10,85.456,
2014-01,87.256,
2014-04,85.076,
2014-07,87.258,
