"",BBK01.OEYB10N,BBK01.OEYB10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:29,
2002-01,5.837,
2002-04,5.531,
2002-07,5.308,
2002-10,5.223,
2003-01,5.715,
2003-04,5.471,
2003-07,5.521,
2003-10,5.525,
2004-01,5.189,
2004-04,4.456,
2004-07,3.664,
2004-10,3.490,
2005-01,5.820,
2005-04,3.351,
2005-07,3.133,
2005-10,3.569,
2006-01,3.338,
2006-04,4.051,
2006-07,4.606,
2006-10,4.366,
2007-01,4.901,
2007-04,6.428,
2007-07,6.551,
2007-10,4.904,
2008-01,5.216,
2008-04,6.231,
2008-07,5.565,
2008-10,5.192,
2009-01,4.678,
2009-04,7.268,
2009-07,4.507,
2009-10,4.381,
2010-01,5.346,
2010-04,7.465,
2010-07,6.698,
2010-10,7.079,
2011-01,5.754,
2011-04,8.349,
2011-07,14.628,
2011-10,13.045,
2012-01,12.724,
2012-04,5.742,
2012-07,4.939,
2012-10,2.467,
2013-01,4.971,
2013-04,3.924,
2013-07,2.172,
2013-10,1.812,
2014-01,1.861,
2014-04,1.962,
2014-07,1.893,
