"",BBK01.OECB12G,BBK01.OECB12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:46,
2002-01,3.834,
2002-04,3.745,
2002-07,3.613,
2002-10,3.587,
2003-01,3.440,
2003-04,3.352,
2003-07,3.222,
2003-10,3.158,
2004-01,3.082,
2004-04,3.020,
2004-07,2.898,
2004-10,2.722,
2005-01,2.888,
2005-04,2.743,
2005-07,2.636,
2005-10,2.846,
2006-01,2.773,
2006-04,2.829,
2006-07,2.832,
2006-10,2.768,
2007-01,2.932,
2007-04,2.958,
2007-07,3.010,
2007-10,3.022,
2008-01,3.074,
2008-04,3.175,
2008-07,3.177,
2008-10,3.297,
2009-01,3.316,
2009-04,4.148,
2009-07,3.932,
2009-10,4.260,
2010-01,4.267,
2010-04,4.279,
2010-07,4.224,
2010-10,4.090,
2011-01,3.852,
2011-04,3.702,
2011-07,3.696,
2011-10,3.734,
2012-01,3.753,
2012-04,3.803,
2012-07,3.751,
2012-10,3.693,
2013-01,3.738,
2013-04,3.965,
2013-07,4.023,
2013-10,3.858,
2014-01,4.162,
2014-04,4.216,
2014-07,4.185,
