"",BBFN1.M.DE.N.1.L.BM.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:15,
1994-12,0.388,
1995-01,0.691,
1995-02,0.697,
1995-03,0.709,
1995-04,0.704,
1995-05,0.701,
1995-06,0.696,
1995-07,0.684,
1995-08,0.678,
1995-09,1.208,
1995-10,1.216,
1995-11,1.406,
1995-12,1.797,
1996-01,1.436,
1996-02,1.384,
1996-03,1.470,
1996-04,1.465,
1996-05,1.473,
1996-06,1.617,
1996-07,1.615,
1996-08,1.563,
1996-09,1.564,
1996-10,1.542,
1996-11,1.570,
1996-12,1.580,
1997-01,1.590,
1997-02,1.588,
1997-03,1.605,
1997-04,1.573,
1997-05,1.570,
1997-06,1.930,
1997-07,1.983,
1997-08,2.022,
1997-09,2.027,
1997-10,2.035,
1997-11,2.081,
1997-12,2.148,
1998-01,2.144,
1998-02,2.164,
1998-03,2.212,
1998-04,2.201,
1998-05,1.921,
1998-06,3.782,
1998-07,3.897,
1998-08,3.890,
1998-09,3.888,
1998-10,3.856,
1998-11,3.910,
1998-12,4.179,
1999-01,4.145,
1999-02,4.165,
1999-03,4.272,
1999-04,4.198,
1999-05,4.241,
1999-06,4.135,
1999-07,4.099,
1999-08,4.011,
1999-09,4.064,
1999-10,4.168,
1999-11,4.022,
1999-12,4.225,
2000-01,4.226,
2000-02,4.263,
2000-03,4.201,
2000-04,4.237,
2000-05,4.795,
2000-06,4.946,
2000-07,4.912,
2000-08,5.063,
2000-09,5.177,
2000-10,5.148,
2000-11,5.532,
2000-12,5.985,
2001-01,5.726,
2001-02,5.689,
2001-03,5.721,
2001-04,5.875,
2001-05,5.804,
2001-06,5.562,
2001-07,5.568,
2001-08,5.644,
2001-09,5.778,
2001-10,5.777,
2001-11,5.500,
2001-12,5.733,
2002-01,5.743,
2002-02,5.692,
2002-03,6.044,
2002-04,6.059,
2002-05,6.105,
2002-06,6.830,
2002-07,6.841,
2002-08,6.764,
2002-09,6.811,
2002-10,6.515,
2002-11,6.731,
2002-12,6.911,
2003-01,7.695,
2003-02,7.417,
2003-03,8.285,
2003-04,7.647,
2003-05,7.521,
2003-06,7.629,
2003-07,7.178,
2003-08,6.977,
2003-09,6.922,
2003-10,6.877,
2003-11,6.975,
2003-12,6.607,
2004-01,6.412,
2004-02,7.294,
2004-03,7.106,
2004-04,7.446,
2004-05,6.673,
2004-06,6.425,
2004-07,6.549,
2004-08,5.860,
2004-09,6.000,
2004-10,5.444,
2004-11,5.412,
2004-12,4.704,
2005-01,4.657,
2005-02,4.727,
2005-03,4.749,
2005-04,4.630,
2005-05,4.670,
2005-06,4.716,
2005-07,4.739,
2005-08,4.737,
2005-09,3.961,
2005-10,3.946,
2005-11,3.793,
2005-12,3.037,
2006-01,3.072,
2006-02,3.013,
2006-03,3.082,
2006-04,3.113,
2006-05,3.148,
2006-06,5.070,
2006-07,5.039,
2006-08,5.030,
2006-09,6.316,
2006-10,6.266,
2006-11,6.078,
2006-12,8.409,
2007-01,8.353,
2007-02,9.340,
2007-03,10.081,
2007-04,10.906,
2007-05,11.047,
2007-06,10.938,
2007-07,10.936,
2007-08,10.999,
2007-09,11.040,
2007-10,10.948,
2007-11,11.123,
2007-12,10.736,
2008-01,9.767,
2008-02,10.157,
2008-03,10.245,
2008-04,10.302,
2008-05,10.456,
2008-06,10.427,
2008-07,10.767,
2008-08,10.848,
2008-09,10.911,
2008-10,11.012,
2008-11,10.792,
2008-12,9.393,
2009-01,9.400,
2009-02,9.390,
2009-03,9.187,
2009-04,9.037,
2009-05,9.082,
2009-06,9.138,
2009-07,9.224,
2009-08,9.320,
2009-09,9.530,
2009-10,9.543,
2009-11,9.575,
2009-12,9.761,
2010-01,10.052,
2010-02,10.095,
2010-03,10.361,
2010-04,10.147,
2010-05,13.955,
2010-06,14.823,
2010-07,14.798,
2010-08,14.607,
2010-09,14.575,
2010-10,14.596,
2010-11,14.606,
2010-12,14.515,
2011-01,14.611,
2011-02,14.520,
2011-03,14.449,
2011-04,14.614,
2011-05,14.425,
2011-06,14.390,
2011-07,14.465,
2011-08,14.395,
2011-09,14.473,
2011-10,14.460,
2011-11,14.467,
2011-12,14.645,
2012-01,14.735,
2012-02,14.640,
2012-03,14.021,
2012-04,14.436,
2012-05,14.159,
2012-06,13.596,
2012-07,13.614,
2012-08,13.573,
2012-09,13.632,
2012-10,13.595,
2012-11,13.551,
2012-12,13.600,
2013-01,14.631,
2013-02,14.614,
2013-03,14.589,
2013-04,14.586,
2013-05,14.894,
2013-06,14.848,
2013-07,14.897,
2013-08,14.494,
2013-09,15.003,
2013-10,14.940,
2013-11,14.881,
2013-12,14.359,
2014-01,14.457,
2014-02,14.564,
2014-03,14.619,
2014-04,14.605,
2014-05,14.176,
2014-06,14.207,
2014-07,14.146,
2014-08,14.134,
2014-09,14.477,
2014-10,14.489,
2014-11,14.473,
2014-12,13.947,
