"",BBK01.OEAE05M,BBK01.OEAE05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:20,
2002-01,2.913,
2002-04,2.884,
2002-07,2.835,
2002-10,2.827,
2003-01,2.841,
2003-04,2.825,
2003-07,2.786,
2003-10,2.751,
2004-01,2.763,
2004-04,2.748,
2004-07,2.690,
2004-10,2.666,
2005-01,2.624,
2005-04,2.646,
2005-07,2.610,
2005-10,2.588,
2006-01,2.577,
2006-04,2.524,
2006-07,2.501,
2006-10,2.495,
2007-01,2.492,
2007-04,2.431,
2007-07,2.404,
2007-10,2.390,
2008-01,2.369,
2008-04,2.360,
2008-07,2.328,
2008-10,2.314,
2009-01,2.314,
2009-04,2.321,
2009-07,2.295,
2009-10,2.324,
2010-01,2.493,
2010-04,2.493,
2010-07,2.491,
2010-10,2.351,
2011-01,2.388,
2011-04,2.362,
2011-07,2.320,
2011-10,2.329,
2012-01,2.368,
2012-04,2.370,
2012-07,2.364,
2012-10,2.375,
2013-01,2.381,
2013-04,2.365,
2013-07,2.349,
2013-10,2.355,
2014-01,2.348,
2014-04,2.345,
2014-07,2.324,
