"",BBK01.OEAH32K,BBK01.OEAH32K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:41,
2002-01,3.918,
2002-04,3.785,
2002-07,4.006,
2002-10,4.782,
2003-01,4.313,
2003-04,4.571,
2003-07,4.837,
2003-10,5.090,
2004-01,4.706,
2004-04,4.441,
2004-07,5.307,
2004-10,4.228,
2005-01,4.015,
2005-04,3.796,
2005-07,4.007,
2005-10,3.927,
2006-01,4.201,
2006-04,4.468,
2006-07,4.369,
2006-10,4.450,
2007-01,5.558,
2007-04,4.970,
2007-07,5.934,
2007-10,6.018,
2008-01,5.829,
2008-04,6.278,
2008-07,6.765,
2008-10,6.406,
2009-01,6.378,
2009-04,5.655,
2009-07,4.665,
2009-10,4.803,
2010-01,5.010,
2010-04,5.355,
2010-07,5.362,
2010-10,6.270,
2011-01,5.383,
2011-04,6.017,
2011-07,6.480,
2011-10,5.883,
2012-01,5.698,
2012-04,5.542,
2012-07,5.298,
2012-10,4.947,
2013-01,5.373,
2013-04,4.188,
2013-07,3.292,
2013-10,3.585,
2014-01,3.656,
2014-04,3.337,
2014-07,3.362,
