"",BBK01.OEAC51H,BBK01.OEAC51H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:03,
2002-01,5.162,
2002-04,5.142,
2002-07,5.201,
2002-10,5.159,
2003-01,5.156,
2003-04,5.179,
2003-07,5.295,
2003-10,5.321,
2004-01,5.300,
2004-04,5.382,
2004-07,5.506,
2004-10,5.523,
2005-01,5.343,
2005-04,5.410,
2005-07,5.546,
2005-10,5.573,
2006-01,5.571,
2006-04,5.645,
2006-07,5.694,
2006-10,5.682,
2007-01,5.634,
2007-04,5.616,
2007-07,5.672,
2007-10,5.672,
2008-01,5.640,
2008-04,5.693,
2008-07,5.788,
2008-10,5.824,
2009-01,5.766,
2009-04,5.778,
2009-07,5.951,
2009-10,6.176,
2010-01,6.250,
2010-04,6.635,
2010-07,6.802,
2010-10,6.885,
2011-01,6.818,
2011-04,6.916,
2011-07,7.003,
2011-10,7.068,
2012-01,7.045,
2012-04,7.129,
2012-07,7.185,
2012-10,7.169,
2013-01,7.097,
2013-04,7.154,
2013-07,7.231,
2013-10,7.233,
2014-01,7.203,
2014-04,7.267,
2014-07,7.348,
