"",BBK01.OEHB14L,BBK01.OEHB14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:49,
2002-01,1.210,
2002-04,1.234,
2002-07,1.176,
2002-10,1.267,
2003-01,1.280,
2003-04,1.250,
2003-07,1.233,
2003-10,1.188,
2004-01,1.137,
2004-04,1.090,
2004-07,1.181,
2004-10,1.122,
2005-01,1.081,
2005-04,1.057,
2005-07,1.039,
2005-10,1.019,
2006-01,1.016,
2006-04,1.017,
2006-07,0.987,
2006-10,0.958,
2007-01,0.947,
2007-04,0.925,
2007-07,0.894,
2007-10,0.885,
2008-01,0.882,
2008-04,0.877,
2008-07,0.859,
2008-10,0.858,
2009-01,0.843,
2009-04,0.834,
2009-07,0.798,
2009-10,0.781,
2010-01,0.832,
2010-04,0.804,
2010-07,0.771,
2010-10,0.705,
2011-01,0.736,
2011-04,0.727,
2011-07,0.703,
2011-10,0.677,
2012-01,0.677,
2012-04,0.683,
2012-07,0.683,
2012-10,0.678,
2013-01,0.681,
2013-04,0.642,
2013-07,0.624,
2013-10,0.615,
2014-01,0.620,
2014-04,0.605,
2014-07,0.580,
