"",BBFN1.M.DE.N.1.A.MY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:05,
1995-01,0.043,
1995-02,0.053,
1995-03,0.046,
1995-04,0.102,
1995-05,0.102,
1995-06,0.114,
1995-07,0.096,
1995-08,0.096,
1995-09,0.099,
1995-10,0.097,
1995-11,0.117,
1995-12,0.206,
1996-01,0.229,
1996-02,0.193,
1996-03,0.171,
1996-04,0.218,
1996-05,0.231,
1996-06,0.286,
1996-07,0.244,
1996-08,0.257,
1996-09,0.400,
1996-10,0.311,
1996-11,0.274,
1996-12,0.273,
1997-01,0.315,
1997-02,0.270,
1997-03,0.279,
1997-04,0.302,
1997-05,0.329,
1997-06,0.352,
1997-07,0.316,
1997-08,0.334,
1997-09,0.374,
1997-10,0.357,
1997-11,0.352,
1997-12,0.414,
1998-01,0.420,
1998-02,0.388,
1998-03,0.373,
1998-04,0.369,
1998-05,0.371,
1998-06,0.366,
1998-07,0.358,
1998-08,0.349,
1998-09,0.406,
1998-10,0.416,
1998-11,0.407,
1998-12,0.431,
1999-01,0.442,
1999-02,0.449,
1999-03,0.497,
1999-04,0.502,
1999-05,0.504,
1999-06,0.527,
1999-07,0.381,
1999-08,0.406,
1999-09,0.165,
1999-10,0.176,
1999-11,0.187,
1999-12,0.182,
2000-01,0.208,
2000-02,0.209,
2000-03,0.222,
2000-04,0.219,
2000-05,0.221,
2000-06,0.220,
2000-07,0.233,
2000-08,0.227,
2000-09,0.231,
2000-10,0.261,
2000-11,0.274,
2000-12,0.263,
2001-01,0.256,
2001-02,0.260,
2001-03,0.264,
2001-04,0.262,
2001-05,0.294,
2001-06,0.301,
2001-07,0.303,
2001-08,0.300,
2001-09,0.371,
2001-10,0.383,
2001-11,0.389,
2001-12,0.346,
2002-01,0.315,
2002-02,0.324,
2002-03,0.393,
2002-04,0.386,
2002-05,0.373,
2002-06,0.392,
2002-07,0.362,
2002-08,0.360,
2002-09,0.344,
2002-10,0.331,
2002-11,0.329,
2002-12,0.299,
2003-01,0.291,
2003-02,0.294,
2003-03,0.288,
2003-04,0.270,
2003-05,0.275,
2003-06,0.234,
2003-07,0.223,
2003-08,0.230,
2003-09,0.222,
2003-10,0.215,
2003-11,0.229,
2003-12,0.218,
2004-01,0.212,
2004-02,0.207,
2004-03,0.210,
2004-04,0.221,
2004-05,0.222,
2004-06,0.232,
2004-07,0.237,
2004-08,0.253,
2004-09,0.264,
2004-10,0.283,
2004-11,0.283,
2004-12,0.393,
2005-01,0.405,
2005-02,0.396,
2005-03,0.387,
2005-04,0.466,
2005-05,0.477,
2005-06,0.476,
2005-07,0.460,
2005-08,0.466,
2005-09,0.488,
2005-10,0.415,
2005-11,0.411,
2005-12,0.462,
2006-01,0.448,
2006-02,0.474,
2006-03,0.471,
2006-04,0.484,
2006-05,0.597,
2006-06,0.652,
2006-07,0.559,
2006-08,0.672,
2006-09,0.593,
2006-10,0.572,
2006-11,0.578,
2006-12,0.641,
2007-01,0.610,
2007-02,0.620,
2007-03,0.637,
2007-04,0.664,
2007-05,0.682,
2007-06,0.688,
2007-07,0.691,
2007-08,0.746,
2007-09,0.815,
2007-10,0.779,
2007-11,0.804,
2007-12,0.829,
2008-01,0.824,
2008-02,0.852,
2008-03,0.836,
2008-04,0.849,
2008-05,0.835,
2008-06,0.861,
2008-07,0.898,
2008-08,0.925,
2008-09,0.965,
2008-10,0.930,
2008-11,0.972,
2008-12,0.972,
2009-01,1.013,
2009-02,0.993,
2009-03,1.023,
2009-04,1.015,
2009-05,0.967,
2009-06,1.001,
2009-07,1.003,
2009-08,0.998,
2009-09,0.955,
2009-10,0.965,
2009-11,0.955,
2009-12,0.954,
2010-01,0.986,
2010-02,0.999,
2010-03,1.012,
2010-04,1.017,
2010-05,1.046,
2010-06,1.031,
2010-07,1.026,
2010-08,0.930,
2010-09,0.882,
2010-10,0.892,
2010-11,0.971,
2010-12,0.994,
2011-01,1.027,
2011-02,1.109,
2011-03,1.153,
2011-04,1.265,
2011-05,1.277,
2011-06,1.333,
2011-07,1.339,
2011-08,1.360,
2011-09,1.347,
2011-10,1.418,
2011-11,1.449,
2011-12,1.488,
2012-01,1.508,
2012-02,1.441,
2012-03,1.359,
2012-04,1.401,
2012-05,1.418,
2012-06,1.413,
2012-07,1.436,
2012-08,1.435,
2012-09,1.336,
2012-10,1.328,
2012-11,1.323,
2012-12,1.301,
2013-01,1.283,
2013-02,1.291,
2013-03,1.452,
2013-04,1.262,
2013-05,1.263,
2013-06,1.227,
2013-07,1.014,
2013-08,1.154,
2013-09,1.096,
2013-10,1.090,
2013-11,1.081,
2013-12,0.950,
2014-01,0.930,
2014-02,0.938,
2014-03,0.915,
2014-04,0.812,
2014-05,0.827,
2014-06,0.831,
2014-07,0.841,
2014-08,0.853,
2014-09,0.865,
2014-10,0.843,
2014-11,0.820,
2014-12,0.814,
