"",BBK01.OEAH34P,BBK01.OEAH34P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:36,
2002-01,0.063,
2002-04,0.086,
2002-07,0.052,
2002-10,0.052,
2003-01,0.038,
2003-04,0.014,
2003-07,0.052,
2003-10,0.055,
2004-01,0.050,
2004-04,0.060,
2004-07,0.074,
2004-10,0.077,
2005-01,0.121,
2005-04,0.122,
2005-07,0.075,
2005-10,0.087,
2006-01,0.092,
2006-04,0.081,
2006-07,0.043,
2006-10,0.014,
2007-01,0.019,
2007-04,0.024,
2007-07,0.036,
2007-10,0.054,
2008-01,0.053,
2008-04,0.104,
2008-07,0.108,
2008-10,0.082,
2009-01,0.093,
2009-04,0.110,
2009-07,0.099,
2009-10,0.092,
2010-01,0.120,
2010-04,0.053,
2010-07,0.050,
2010-10,0.073,
2011-01,0.045,
2011-04,0.047,
2011-07,0.071,
2011-10,0.064,
2012-01,0.072,
2012-04,0.070,
2012-07,0.065,
2012-10,0.036,
2013-01,0.029,
2013-04,0.023,
2013-07,0.012,
2013-10,0.014,
2014-01,0.018,
2014-04,0.016,
2014-07,0.017,
