"",BBK01.OEAH46K,BBK01.OEAH46K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:46,
2002-01,1.818,
2002-04,1.816,
2002-07,1.898,
2002-10,2.166,
2003-01,1.984,
2003-04,1.868,
2003-07,1.968,
2003-10,1.718,
2004-01,1.817,
2004-04,1.707,
2004-07,1.628,
2004-10,1.492,
2005-01,1.426,
2005-04,1.345,
2005-07,1.289,
2005-10,1.198,
2006-01,1.226,
2006-04,1.235,
2006-07,1.436,
2006-10,1.442,
2007-01,1.477,
2007-04,1.479,
2007-07,1.615,
2007-10,1.979,
2008-01,1.774,
2008-04,1.917,
2008-07,2.187,
2008-10,2.161,
2009-01,1.355,
2009-04,1.290,
2009-07,1.063,
2009-10,0.896,
2010-01,0.823,
2010-04,0.734,
2010-07,0.747,
2010-10,0.870,
2011-01,0.869,
2011-04,0.867,
2011-07,0.962,
2011-10,0.960,
2012-01,0.849,
2012-04,0.681,
2012-07,0.575,
2012-10,0.460,
2013-01,0.360,
2013-04,0.328,
2013-07,0.339,
2013-10,0.323,
2014-01,0.313,
2014-04,0.292,
2014-07,0.258,
