"",BBK01.OEAC45Q,BBK01.OEAC45Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:23,
2002-01,0.408,
2002-04,0.365,
2002-07,0.372,
2002-10,0.335,
2003-01,0.343,
2003-04,0.329,
2003-07,0.316,
2003-10,0.297,
2004-01,0.233,
2004-04,0.195,
2004-07,0.200,
2004-10,0.191,
2005-01,0.183,
2005-04,0.201,
2005-07,0.206,
2005-10,0.206,
2006-01,0.201,
2006-04,0.202,
2006-07,0.158,
2006-10,0.153,
2007-01,0.169,
2007-04,0.149,
2007-07,0.160,
2007-10,0.165,
2008-01,0.151,
2008-04,0.148,
2008-07,0.144,
2008-10,0.139,
2009-01,0.143,
2009-04,0.140,
2009-07,0.136,
2009-10,0.134,
2010-01,0.304,
2010-04,0.291,
2010-07,0.239,
2010-10,0.153,
2011-01,0.143,
2011-04,0.150,
2011-07,0.106,
2011-10,0.103,
2012-01,0.100,
2012-04,0.096,
2012-07,0.101,
2012-10,0.097,
2013-01,0.098,
2013-04,0.099,
2013-07,0.099,
2013-10,0.099,
2014-01,0.102,
2014-04,0.102,
2014-07,0.107,
