"",BBK01.OEAA10H,BBK01.OEAA10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:46,
2002-01,63.390,
2002-04,63.205,
2002-07,63.769,
2002-10,62.331,
2003-01,58.441,
2003-04,56.479,
2003-07,55.983,
2003-10,56.040,
2004-01,56.109,
2004-04,51.878,
2004-07,53.088,
2004-10,49.699,
2005-01,47.711,
2005-04,49.965,
2005-07,50.324,
2005-10,43.108,
2006-01,53.870,
2006-04,48.271,
2006-07,54.636,
2006-10,45.731,
2007-01,52.706,
2007-04,48.262,
2007-07,55.352,
2007-10,48.727,
2008-01,60.179,
2008-04,68.057,
2008-07,69.212,
2008-10,46.767,
2009-01,55.824,
2009-04,55.454,
2009-07,53.932,
2009-10,43.691,
2010-01,46.838,
2010-04,45.906,
2010-07,48.826,
2010-10,107.339,
2011-01,82.478,
2011-04,69.053,
2011-07,55.972,
2011-10,49.854,
2012-01,55.080,
2012-04,50.744,
2012-07,55.984,
2012-10,49.329,
2013-01,52.576,
2013-04,52.860,
2013-07,41.262,
2013-10,40.838,
2014-01,38.996,
2014-04,38.461,
2014-07,39.979,
