"",BBK01.OELJ06L,BBK01.OELJ06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:52,
2002-01,0.210,
2002-04,0.208,
2002-07,0.192,
2002-10,0.192,
2003-01,0.189,
2003-04,0.183,
2003-07,0.163,
2003-10,0.154,
2004-01,0.157,
2004-04,0.148,
2004-07,0.147,
2004-10,0.155,
2005-01,0.150,
2005-04,0.145,
2005-07,0.146,
2005-10,0.142,
2006-01,0.144,
2006-04,0.147,
2006-07,0.146,
2006-10,0.140,
2007-01,0.140,
2007-04,0.132,
2007-07,0.133,
2007-10,0.132,
2008-01,0.131,
2008-04,0.134,
2008-07,0.130,
2008-10,0.127,
2009-01,0.120,
2009-04,0.113,
2009-07,0.113,
2009-10,0.102,
2010-01,0.088,
2010-04,0.086,
2010-07,0.079,
2010-10,0.083,
2011-01,0.069,
2011-04,0.074,
2011-07,0.080,
2011-10,0.076,
2012-01,0.087,
2012-04,0.093,
2012-07,0.086,
2012-10,0.089,
2013-01,0.108,
2013-04,0.107,
2013-07,0.098,
2013-10,0.099,
2014-01,0.094,
2014-04,0.118,
2014-07,0.120,
