"",BBK01.CEF00I,BBK01.CEF00I_FLAGS
"",Total financial assets  debtor:  Total                   creditor: Households(einschl. Non-profit institutions serving households),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:55,
1999-01,3260.7,
1999-04,3290.0,
1999-07,3260.4,
1999-10,3445.2,
2000-01,3520.8,
2000-04,3494.8,
2000-07,3513.4,
2000-10,3521.4,
2001-01,3493.6,
2001-04,3520.9,
2001-07,3443.1,
2001-10,3616.5,
2002-01,3651.6,
2002-04,3607.2,
2002-07,3513.4,
2002-10,3562.9,
2003-01,3586.4,
2003-04,3681.4,
2003-07,3707.5,
2003-10,3785.7,
2004-01,3837.9,
2004-04,3872.3,
2004-07,3894.0,
2004-10,3950.6,
2005-01,4005.9,
2005-04,4059.4,
2005-07,4121.1,
2005-10,4173.5,
2006-01,4115.6,
2006-04,4104.5,
2006-07,4122.3,
2006-10,4193.8,
2007-01,4272.0,
2007-04,4345.4,
2007-07,4365.2,
2007-10,4417.2,
2008-01,4340.9,
2008-04,4336.7,
2008-07,4285.3,
2008-10,4217.0,
2009-01,4179.6,
2009-04,4246.7,
2009-07,4316.5,
2009-10,4379.7,
2010-01,4431.4,
2010-04,4454.4,
2010-07,4473.5,
2010-10,4557.2,
2011-01,4579.5,
2011-04,4606.7,
2011-07,4539.5,
2011-10,4600.4,
2012-01,4691.9,
2012-04,4702.0,
2012-07,4770.5,
2012-10,4827.9,
2013-01,4878.3,
2013-04,4897.0,
2013-07,4948.0,
2013-10,5027.1,
2014-01,5085.2,
2014-04,5145.5,
2014-07,5174.5,
