"",BBDE1.M.DE.W.GUA1.N2G470000.A.C.I10.A,BBDE1.M.DE.W.GUA1.N2G470000.A.C.I10.A_FLAGS
"","Turnover / At constant prices / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:18:58,
1994-01,95.6,
1994-02,91.4,
1994-03,105.8,
1994-04,102.0,
1994-05,100.3,
1994-06,96.9,
1994-07,100.0,
1994-08,97.6,
1994-09,101.9,
1994-10,107.0,
1994-11,109.0,
1994-12,132.1,
1995-01,94.0,
1995-02,93.0,
1995-03,107.8,
1995-04,103.2,
1995-05,103.6,
1995-06,100.6,
1995-07,102.5,
1995-08,99.4,
1995-09,101.9,
1995-10,106.6,
1995-11,111.1,
1995-12,130.9,
1996-01,95.3,
1996-02,91.8,
1996-03,105.4,
1996-04,103.5,
1996-05,102.5,
1996-06,98.1,
1996-07,101.3,
1996-08,99.0,
1996-09,102.4,
1996-10,105.8,
1996-11,109.8,
1996-12,127.5,
1997-01,95.7,
1997-02,90.0,
1997-03,103.6,
1997-04,102.4,
1997-05,101.1,
1997-06,98.1,
1997-07,99.7,
1997-08,94.9,
1997-09,98.6,
1997-10,106.3,
1997-11,107.6,
1997-12,124.5,
1998-01,93.8,
1998-02,90.2,
1998-03,106.7,
1998-04,100.6,
1998-05,101.1,
1998-06,95.2,
1998-07,101.4,
1998-08,97.1,
1998-09,99.2,
1998-10,105.6,
1998-11,111.4,
1998-12,127.2,
1999-01,94.7,
1999-02,91.0,
1999-03,105.9,
1999-04,100.1,
1999-05,100.7,
1999-06,95.8,
1999-07,99.6,
1999-08,98.0,
1999-09,96.8,
1999-10,105.9,
1999-11,108.3,
1999-12,127.3,
2000-01,94.2,
2000-02,91.3,
2000-03,104.6,
2000-04,103.4,
2000-05,103.0,
2000-06,97.8,
2000-07,101.3,
2000-08,98.1,
2000-09,99.8,
2000-10,106.5,
2000-11,109.1,
2000-12,127.9,
2001-01,96.5,
2001-02,90.6,
2001-03,106.2,
2001-04,103.4,
2001-05,102.9,
2001-06,98.1,
2001-07,101.9,
2001-08,98.4,
2001-09,100.7,
2001-10,104.2,
2001-11,110.7,
2001-12,125.6,
2002-01,91.5,
2002-02,87.6,
2002-03,102.2,
2002-04,101.3,
2002-05,101.0,
2002-06,94.9,
2002-07,99.6,
2002-08,96.5,
2002-09,100.0,
2002-10,104.9,
2002-11,106.4,
2002-12,122.2,
2003-01,90.8,
2003-02,87.2,
2003-03,101.2,
2003-04,99.4,
2003-05,99.1,
2003-06,95.9,
2003-07,98.3,
2003-08,95.7,
2003-09,97.8,
2003-10,104.7,
2003-11,105.6,
2003-12,120.3,
2004-01,91.6,
2004-02,89.3,
2004-03,103.1,
2004-04,102.7,
2004-05,99.6,
2004-06,96.8,
2004-07,100.4,
2004-08,97.3,
2004-09,99.2,
2004-10,104.9,
2004-11,107.2,
2004-12,123.0,
2005-01,95.4,
2005-02,90.0,
2005-03,104.3,
2005-04,102.1,
2005-05,101.0,
2005-06,98.7,
2005-07,101.8,
2005-08,99.4,
2005-09,100.7,
2005-10,106.7,
2005-11,107.9,
2005-12,123.6,
2006-01,94.4,
2006-02,90.3,
2006-03,104.6,
2006-04,102.6,
2006-05,102.5,
2006-06,100.4,
2006-07,101.3,
2006-08,100.3,
2006-09,99.6,
2006-10,106.4,
2006-11,107.7,
2006-12,126.3,
2007-01,93.0,
2007-02,90.3,
2007-03,104.8,
2007-04,104.9,
2007-05,100.0,
2007-06,98.1,
2007-07,100.5,
2007-08,99.5,
2007-09,99.8,
2007-10,105.5,
2007-11,105.7,
2007-12,118.4,
2008-01,94.6,
2008-02,90.5,
2008-03,102.1,
2008-04,100.5,
2008-05,101.0,
2008-06,96.8,
2008-07,99.5,
2008-08,99.1,
2008-09,100.5,
2008-10,105.5,
2008-11,106.6,
2008-12,122.4,
2009-01,91.9,
2009-02,86.6,
2009-03,100.1,
2009-04,100.3,
2009-05,98.1,
2009-06,93.2,
2009-07,98.2,
2009-08,95.0,
2009-09,96.2,
2009-10,103.1,
2009-11,103.1,
2009-12,119.7,
2010-01,90.0,
2010-02,87.4,
2010-03,101.1,
2010-04,99.5,
2010-05,100.2,
2010-06,97.3,
2010-07,101.6,
2010-08,98.0,
2010-09,98.2,
2010-10,104.2,
2010-11,103.5,
2010-12,119.5,
2011-01,92.9,
2011-02,90.1,
2011-03,101.2,
2011-04,101.1,
2011-05,98.5,
2011-06,98.4,
2011-07,102.1,
2011-08,98.4,
2011-09,99.4,
2011-10,105.6,
2011-11,104.3,
2011-12,120.5,
2012-01,92.0,
2012-02,88.9,
2012-03,103.4,
2012-04,101.3,
2012-05,100.9,
2012-06,99.7,
2012-07,101.1,
2012-08,98.4,
2012-09,99.3,
2012-10,103.9,
2012-11,104.8,
2012-12,116.8,
2013-01,93.9,
2013-02,89.3,
2013-03,102.9,
2013-04,101.4,
2013-05,101.9,
2013-06,99.0,
2013-07,101.4,
2013-08,98.9,
2013-09,99.5,
2013-10,103.8,
2013-11,106.5,
2013-12,117.0,
2014-01,94.8,Provisional value
2014-02,91.4,Provisional value
2014-03,104.8,Provisional value
2014-04,102.3,Provisional value
2014-05,101.8,Provisional value
2014-06,101.4,Provisional value
2014-07,102.6,Provisional value
2014-08,100.8,Provisional value
2014-09,99.3,Provisional value
2014-10,106.4,Provisional value
2014-11,108.5,Provisional value
2014-12,122.6,Provisional value
