"",BBK01.OEAD09Q,BBK01.OEAD09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:15,
2002-01,0.119,
2002-04,0.130,
2002-07,0.122,
2002-10,0.111,
2003-01,0.109,
2003-04,0.132,
2003-07,0.140,
2003-10,0.132,
2004-01,0.132,
2004-04,0.117,
2004-07,0.110,
2004-10,0.100,
2005-01,0.098,
2005-04,0.096,
2005-07,0.086,
2005-10,0.076,
2006-01,0.086,
2006-04,0.081,
2006-07,0.076,
2006-10,0.143,
2007-01,0.148,
2007-04,0.107,
2007-07,0.100,
2007-10,0.068,
2008-01,0.059,
2008-04,0.059,
2008-07,0.061,
2008-10,0.056,
2009-01,0.066,
2009-04,0.068,
2009-07,0.066,
2009-10,0.066,
2010-01,0.061,
2010-04,0.063,
2010-07,0.063,
2010-10,0.057,
2011-01,0.055,
2011-04,0.055,
2011-07,0.057,
2011-10,0.052,
2012-01,0.054,
2012-04,0.048,
2012-07,0.044,
2012-10,0.041,
2013-01,0.043,
2013-04,0.046,
2013-07,0.046,
2013-10,0.044,
2014-01,0.046,
2014-04,0.041,
2014-07,0.040,
