"",BBK01.RJ2059,BBK01.RJ2059_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:24:54,
1989,-,Nothing exists
1990,-,Nothing exists
1991,.,No value available
1992,.,No value available
1993,.,No value available
1994,5,
1995,5,
1996,7,
1997,4,
1998,4,
1999,5,
2000,0,
2001,45,
2002,.,No value available
2003,.,No value available
2004,38,
2005,.,No value available
2006,-,Nothing exists
2007,-,Nothing exists
2008,10,
2009,15,
2010,7,
2011,8,
2012,.,No value available
