"",BBK01.CEFE5N,BBK01.CEFE5N_FLAGS
"",short-term loans  debtor: OFI creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:57,
1999-01,48.1,
1999-04,58.3,
1999-07,49.4,
1999-10,59.3,
2000-01,88.7,
2000-04,102.7,
2000-07,97.3,
2000-10,101.8,
2001-01,109.1,
2001-04,107.7,
2001-07,111.6,
2001-10,99.0,
2002-01,92.6,
2002-04,90.1,
2002-07,85.4,
2002-10,86.2,
2003-01,95.2,
2003-04,96.5,
2003-07,96.0,
2003-10,90.4,
2004-01,98.2,
2004-04,91.0,
2004-07,88.9,
2004-10,83.0,
2005-01,77.4,
2005-04,79.8,
2005-07,89.9,
2005-10,97.5,
2006-01,105.6,
2006-04,119.2,
2006-07,116.3,
2006-10,119.9,
2007-01,124.2,
2007-04,143.4,
2007-07,140.7,
2007-10,126.1,
2008-01,141.3,
2008-04,143.9,
2008-07,129.8,
2008-10,138.8,
2009-01,124.3,
2009-04,129.7,
2009-07,121.6,
2009-10,155.5,
2010-01,128.2,
2010-04,146.3,
2010-07,165.7,
2010-10,169.2,
2011-01,174.8,
2011-04,193.2,
2011-07,231.9,
2011-10,219.3,
2012-01,238.9,
2012-04,263.0,
2012-07,242.0,
2012-10,239.7,
2013-01,267.5,
2013-04,300.1,
2013-07,206.0,
2013-10,185.1,
2014-01,199.6,
2014-04,203.7,
2014-07,204.1,
