"",BBK01.OEAB09Q,BBK01.OEAB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:08,
2002-01,23.931,
2002-04,24.428,
2002-07,24.906,
2002-10,26.377,
2003-01,26.321,
2003-04,27.486,
2003-07,28.083,
2003-10,29.196,
2004-01,28.305,
2004-04,23.695,
2004-07,23.237,
2004-10,24.542,
2005-01,24.687,
2005-04,24.884,
2005-07,24.327,
2005-10,24.270,
2006-01,25.101,
2006-04,26.129,
2006-07,26.470,
2006-10,27.560,
2007-01,29.885,
2007-04,29.798,
2007-07,30.505,
2007-10,30.202,
2008-01,25.642,
2008-04,28.054,
2008-07,27.252,
2008-10,24.808,
2009-01,24.575,
2009-04,25.524,
2009-07,26.417,
2009-10,31.960,
2010-01,30.723,
2010-04,32.500,
2010-07,28.022,
2010-10,28.136,
2011-01,29.264,
2011-04,26.228,
2011-07,21.547,
2011-10,21.145,
2012-01,23.955,
2012-04,24.902,
2012-07,28.059,
2012-10,28.118,
2013-01,26.522,
2013-04,25.073,
2013-07,24.852,
2013-10,30.292,
2014-01,29.690,
2014-04,29.788,
2014-07,30.411,
