"",BBK01.OEBI09Q,BBK01.OEBI09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:10,
2002-01,0.572,
2002-04,0.540,
2002-07,0.567,
2002-10,0.545,
2003-01,0.487,
2003-04,0.444,
2003-07,0.414,
2003-10,0.400,
2004-01,0.383,
2004-04,0.359,
2004-07,0.341,
2004-10,0.334,
2005-01,0.349,
2005-04,0.334,
2005-07,0.301,
2005-10,0.293,
2006-01,0.296,
2006-04,0.317,
2006-07,0.338,
2006-10,0.368,
2007-01,0.525,
2007-04,0.592,
2007-07,0.652,
2007-10,0.749,
2008-01,0.790,
2008-04,0.819,
2008-07,0.877,
2008-10,1.197,
2009-01,1.183,
2009-04,1.148,
2009-07,1.151,
2009-10,0.935,
2010-01,0.745,
2010-04,0.715,
2010-07,0.677,
2010-10,0.796,
2011-01,0.923,
2011-04,0.952,
2011-07,0.966,
2011-10,0.917,
2012-01,0.850,
2012-04,0.831,
2012-07,0.768,
2012-10,0.657,
2013-01,0.547,
2013-04,0.476,
2013-07,0.445,
2013-10,0.423,
2014-01,0.402,
2014-04,0.381,
2014-07,0.489,
