"",BBK01.OEAI02M,BBK01.OEAI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:12,
2002-01,40.670,
2002-04,41.339,
2002-07,41.604,
2002-10,44.114,
2003-01,43.351,
2003-04,45.023,
2003-07,45.532,
2003-10,48.682,
2004-01,46.969,
2004-04,47.617,
2004-07,48.932,
2004-10,50.904,
2005-01,51.596,
2005-04,51.842,
2005-07,52.927,
2005-10,55.070,
2006-01,53.367,
2006-04,53.711,
2006-07,53.493,
2006-10,56.113,
2007-01,55.463,
2007-04,56.757,
2007-07,56.777,
2007-10,59.212,
2008-01,58.076,
2008-04,59.347,
2008-07,57.267,
2008-10,64.791,
2009-01,70.800,
2009-04,74.484,
2009-07,78.414,
2009-10,82.238,
2010-01,81.468,
2010-04,88.419,
2010-07,86.161,
2010-10,87.618,
2011-01,86.119,
2011-04,87.840,
2011-07,89.692,
2011-10,93.154,
2012-01,93.195,
2012-04,96.100,
2012-07,101.384,
2012-10,104.259,
2013-01,104.760,
2013-04,107.724,
2013-07,107.105,
2013-10,109.392,
2014-01,111.633,
2014-04,112.388,
2014-07,117.036,
