"",BBSF2.M.1.P.00000.REN01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:32,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,735,
1993-05,834,
1993-06,887,
1993-07,930,
1993-08,1158,
1993-09,1052,
1993-10,1592,
1993-11,2267,
1993-12,2273,
1994-01,2780,
1994-02,2461,
1994-03,1675,
1994-04,1110,
1994-05,1235,
1994-06,1099,
1994-07,1128,
1994-08,1248,
1994-09,1032,
1994-10,827,
1994-11,1513,
1994-12,1644,
1995-01,985,
1995-02,1235,
1995-03,839,
1995-04,665,
1995-05,863,
1995-06,1477,
1995-07,1010,
1995-08,1151,
1995-09,1239,
1995-10,886,
1995-11,1867,
1995-12,1756,
1996-01,2159,
1996-02,2038,
1996-03,1666,
1996-04,1751,
1996-05,1395,
1996-06,1353,
1996-07,1310,
1996-08,1346,
1996-09,1069,
1996-10,1383,
1996-11,1676,
1996-12,1521,
1997-01,2498,
1997-02,2187,
1997-03,1693,
1997-04,1947,
1997-05,1350,
1997-06,1344,
1997-07,1700,
1997-08,1408,
1997-09,1668,
1997-10,1262,
1997-11,1624,
1997-12,2016,
1998-01,2070,
1998-02,2132,
1998-03,2796,
1998-04,1926,
1998-05,1335,
1998-06,1435,
1998-07,1651,
1998-08,1726,
1998-09,1168,
1998-10,1135,
1998-11,1919,
1998-12,2154,
1999-01,3231,
1999-02,2402,
1999-03,2238,
1999-04,2551,
1999-05,1644,
1999-06,1938,
1999-07,2130,
1999-08,2055,
1999-09,1805,
1999-10,1974,
1999-11,2281,
1999-12,2302,
2000-01,2589,
2000-02,2043,
2000-03,3271,
2000-04,1635,
2000-05,1243,
2000-06,1637,
2000-07,2064,
2000-08,1308,
2000-09,1180,
2000-10,1256,
2000-11,1517,
2000-12,1795,
2001-01,2294,
2001-02,1685,
2001-03,1957,
2001-04,2120,
2001-05,2220,
2001-06,1491,
2001-07,1774,
2001-08,2731,
2001-09,1778,
2001-10,2339,
2001-11,3079,
2001-12,1920,
2002-01,3275,
2002-02,3157,
2002-03,2714,
2002-04,1846,
2002-05,1810,
2002-06,1636,
2002-07,2751,
2002-08,3131,
2002-09,2122,
2002-10,3281,
2002-11,2827,
2002-12,3148,
2003-01,3571,
2003-02,4240,
2003-03,3001,
2003-04,2458,
2003-05,2678,
2003-06,2704,
2003-07,2887,
2003-08,3213,
2003-09,2034,
2003-10,1980,
2003-11,2186,
2003-12,3145,
2004-01,2325,
2004-02,3241,
2004-03,4595,
2004-04,1684,
2004-05,1808,
2004-06,1381,
2004-07,1761,
2004-08,1835,
2004-09,1601,
2004-10,1401,
2004-11,2303,
2004-12,2762,
2005-01,3266,
2005-02,3976,
2005-03,3870,
2005-04,3872,
2005-05,2788,
2005-06,3145,
2005-07,2628,
2005-08,2558,
2005-09,2237,
2005-10,2139,
2005-11,2288,
2005-12,2108,
2006-01,2801,
2006-02,4074,
2006-03,2924,
2006-04,2513,
2006-05,3554,
2006-06,1499,
2006-07,2212,
2006-08,1695,
2006-09,1426,
2006-10,1579,
2006-11,1888,
2006-12,2879,
2007-01,4376,
2007-02,4026,
2007-03,3365,
2007-04,1438,
2007-05,1626,
2007-06,1785,
2007-07,2485,
2007-08,2106,
2007-09,1190,
2007-10,2143,
2007-11,2308,
2007-12,1622,
2008-01,2343,
2008-02,1945,
2008-03,1276,
2008-04,2877,
2008-05,1812,
2008-06,1194,
2008-07,791,
2008-08,943,
2008-09,2269,
2008-10,1656,
2008-11,1179,
2008-12,2118,
2009-01,1768,
2009-02,2533,
2009-03,2099,
2009-04,1916,
2009-05,1437,
2009-06,1617,
2009-07,2093,
2009-08,903,
2009-09,1345,
2009-10,1308,
2009-11,2473,
2009-12,1419,
2010-01,1662,
2010-02,1601,
2010-03,1983,
2010-04,1540,
2010-05,2146,
2010-06,2201,
2010-07,1384,
2010-08,1181,
2010-09,1337,
2010-10,1125,
2010-11,2900,
2010-12,1692,
2011-01,1711,
2011-02,1064,
2011-03,926,
2011-04,729,
2011-05,1180,
2011-06,1085,
2011-07,1417,
2011-08,2100,
2011-09,2397,
2011-10,1597,
2011-11,1725,
2011-12,1380,
2012-01,2861,
2012-02,1765,
2012-03,1844,
2012-04,1184,
2012-05,2773,
2012-06,1732,
2012-07,1698,
2012-08,1631,
2012-09,1571,
2012-10,1060,
2012-11,1712,
2012-12,1614,
2013-01,2311,
2013-02,2607,
2013-03,1442,
2013-04,1946,
2013-05,2218,
2013-06,2731,
2013-07,1710,
2013-08,1359,
2013-09,1377,
2013-10,1567,
2013-11,2224,
2013-12,1443,
2014-01,2191,
2014-02,2546,
2014-03,1573,
2014-04,1791,
2014-05,1646,
2014-06,2118,
2014-07,1889,
2014-08,1661,
2014-09,2278,
2014-10,3040,
2014-11,1934,
