"",BBK01.OEAJ02K,BBK01.OEAJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:06,
2002-01,9.364,
2002-04,9.936,
2002-07,13.355,
2002-10,13.383,
2003-01,12.991,
2003-04,12.433,
2003-07,10.651,
2003-10,12.539,
2004-01,11.249,
2004-04,12.835,
2004-07,14.105,
2004-10,10.793,
2005-01,10.789,
2005-04,11.471,
2005-07,11.968,
2005-10,11.955,
2006-01,12.315,
2006-04,12.446,
2006-07,12.176,
2006-10,13.195,
2007-01,13.343,
2007-04,14.585,
2007-07,14.573,
2007-10,14.614,
2008-01,14.304,
2008-04,13.118,
2008-07,14.041,
2008-10,14.483,
2009-01,14.418,
2009-04,14.739,
2009-07,16.603,
2009-10,17.087,
2010-01,17.118,
2010-04,18.372,
2010-07,18.437,
2010-10,19.940,
2011-01,19.151,
2011-04,18.639,
2011-07,19.800,
2011-10,20.767,
2012-01,20.986,
2012-04,21.377,
2012-07,22.998,
2012-10,23.577,
2013-01,23.371,
2013-04,23.537,
2013-07,24.782,
2013-10,25.172,
2014-01,25.508,
2014-04,25.107,
2014-07,26.938,
