"",BBK01.OEAH81S,BBK01.OEAH81S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:34,
2002-01,0.009,
2002-04,0.007,
2002-07,0.008,
2002-10,0.008,
2003-01,0.007,
2003-04,0.007,
2003-07,0.007,
2003-10,0.014,
2004-01,0.015,
2004-04,0.007,
2004-07,0.008,
2004-10,0.007,
2005-01,0.007,
2005-04,0.008,
2005-07,0.008,
2005-10,0.009,
2006-01,0.011,
2006-04,0.020,
2006-07,0.020,
2006-10,0.020,
2007-01,0.021,
2007-04,0.035,
2007-07,0.033,
2007-10,0.033,
2008-01,0.030,
2008-04,0.018,
2008-07,0.019,
2008-10,0.025,
2009-01,0.029,
2009-04,0.018,
2009-07,0.021,
2009-10,0.030,
2010-01,0.026,
2010-04,0.019,
2010-07,0.020,
2010-10,0.019,
2011-01,0.018,
2011-04,0.017,
2011-07,0.017,
2011-10,0.017,
2012-01,0.016,
2012-04,0.020,
2012-07,0.019,
2012-10,0.026,
2013-01,0.023,
2013-04,0.024,
2013-07,0.031,
2013-10,0.027,
2014-01,0.028,
2014-04,0.031,
2014-07,0.029,
