"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:22,
1991-01,-870.710,
1991-04,4.870,
1991-07,-139.427,
1991-10,480.762,
1992-01,-493.201,
1992-04,-1336.491,
1992-07,-442.724,
1992-10,-1006.881,
1993-01,612.894,
1993-04,586.617,
1993-07,615.544,
1993-10,106.582,
1994-01,-604.194,
1994-04,625.023,
1994-07,-165.702,
1994-10,76.150,
1995-01,938.361,
1995-04,-374.069,
1995-07,-282.797,
1995-10,465.677,
1996-01,-241.405,
1996-04,664.866,
1996-07,255.589,
1996-10,1036.441,
1997-01,120.477,
1997-04,731.030,
1997-07,571.714,
1997-10,486.481,
1998-01,3.698,
1998-04,344.440,
1998-07,1436.461,
1998-10,281.491,
1999-01,3040.849,
1999-04,4972.920,
1999-07,5070.367,
1999-10,-6740.551,
2000-01,-283.354,
2000-04,-2325.825,
2000-07,12818.757,
2000-10,-12212.223,
2001-01,224.367,
2001-04,-899.679,
2001-07,1247.105,
2001-10,-521.142,
2002-01,1362.461,
2002-04,1388.306,
2002-07,-384.834,
2002-10,83.076,
2003-01,1036.245,
2003-04,611.166,
2003-07,-1060.429,
2003-10,144.898,
2004-01,1251.276,
2004-04,2113.760,
2004-07,827.173,
2004-10,-9.981,
2005-01,3051.663,
2005-04,11196.907,
2005-07,2252.533,
2005-10,-1551.960,
2006-01,5458.602,
2006-04,234.792,
2006-07,1210.978,
2006-10,879.476,
2007-01,528.992,
2007-04,1268.385,
2007-07,2348.631,
2007-10,-1071.558,
2008-01,2837.202,
2008-04,4184.930,
2008-07,1722.758,
2008-10,-6069.446,
2009-01,-1263.121,
2009-04,-2404.246,
2009-07,1571.987,
2009-10,-338.529,
2010-01,1409.052,
2010-04,1138.375,
2010-07,4211.466,
2010-10,823.595,
2011-01,2154.534,
2011-04,344.210,
2011-07,1089.978,
2011-10,-2748.328,
2012-01,3433.568,
2012-04,1297.826,
2012-07,1159.631,
2012-10,-4907.742,
2013-01,3630.979,
2013-04,17.085,
2013-07,1087.869,
2013-10,-2091.580,
2014-01,1656.396,Provisional value
2014-04,1484.122,Provisional value
2014-07,2147.794,Provisional value
2014-10,-3886.076,Provisional value
