"",BBQFS.M.US.CORP.PX_BOOK_SP500._X.0000,BBQFS.M.US.CORP.PX_BOOK_SP500._X.0000_FLAGS
"",Price-to-book value ratio S&P 500 (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:24,
2005-01,2.82,
2005-02,2.87,
2005-03,2.77,
2005-04,2.72,
2005-05,2.79,
2005-06,2.75,
2005-07,2.84,
2005-08,2.80,
2005-09,2.75,
2005-10,2.68,
2005-11,2.78,
2005-12,2.78,
2006-01,2.79,
2006-02,2.79,
2006-03,2.77,
2006-04,2.81,
2006-05,2.71,
2006-06,2.66,
2006-07,2.67,
2006-08,2.73,
2006-09,2.79,
2006-10,2.79,
2006-11,2.84,
2006-12,2.87,
2007-01,2.87,
2007-02,2.80,
2007-03,2.83,
2007-04,2.89,
2007-05,2.98,
2007-06,2.94,
2007-07,2.80,
2007-08,2.83,
2007-09,2.94,
2007-10,2.94,
2007-11,2.82,
2007-12,2.77,
2008-01,2.60,
2008-02,2.51,
2008-03,2.49,
2008-04,2.60,
2008-05,2.63,
2008-06,2.42,
2008-07,2.40,
2008-08,2.43,
2008-09,2.27,
2008-10,1.88,
2008-11,1.73,
2008-12,2.00,
2009-01,1.84,
2009-02,1.64,
2009-03,1.80,
2009-04,1.96,
2009-05,2.05,
2009-06,1.92,
2009-07,2.05,
2009-08,2.08,
2009-09,2.13,
2009-10,2.08,
2009-11,2.20,
2009-12,2.16,
2010-01,2.08,
2010-02,2.12,
2010-03,2.21,
2010-04,2.24,
2010-05,2.06,
2010-06,1.91,
2010-07,2.03,
2010-08,1.93,
2010-09,2.03,
2010-10,2.09,
2010-11,2.08,
2010-12,2.18,
2011-01,2.23,
2011-02,2.30,
2011-03,2.25,
2011-04,2.30,
2011-05,2.26,
2011-06,2.16,
2011-07,2.11,
2011-08,1.99,
2011-09,1.83,
2011-10,2.03,
2011-11,2.02,
2011-12,2.04,
2012-01,2.14,
2012-02,2.22,
2012-03,2.29,
2012-04,2.22,
2012-05,2.07,
2012-06,2.14,
2012-07,2.13,
2012-08,2.17,
2012-09,2.22,
2012-10,2.11,
2012-11,2.12,
2012-12,2.14,
2013-01,2.24,
2013-02,2.27,
2013-03,2.34,
2013-04,2.35,
2013-05,2.41,
2013-06,2.37,
2013-07,2.47,
2013-08,2.40,
2013-09,2.42,
2013-10,2.53,
2013-11,2.60,
2013-12,2.58,
2014-01,2.49,
2014-02,2.59,
2014-03,2.61,
2014-04,2.63,
2014-05,2.68,
2014-06,2.68,
2014-07,2.64,
2014-08,2.74,
2014-09,2.67,
2014-10,2.74,
"",Source: Bloomberg,
