"",BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:51,
1991-01,-823.834,
1991-04,-488.836,
1991-07,-34.249,
1991-10,-40.565,
1992-01,-124.160,
1992-04,-242.630,
1992-07,-465.433,
1992-10,-34.032,
1993-01,101.188,
1993-04,-435.977,
1993-07,-124.439,
1993-10,-124.065,
1994-01,-9.949,
1994-04,121.617,
1994-07,-11.780,
1994-10,-66.268,
1995-01,7.258,
1995-04,-65.993,
1995-07,74.019,
1995-10,-135.779,
1996-01,40.769,
1996-04,-24.402,
1996-07,51.231,
1996-10,53.772,
1997-01,9.176,
1997-04,24.715,
1997-07,-6.961,
1997-10,101.425,
1998-01,-47.331,
1998-04,-37.233,
1998-07,150.264,
1998-10,60.363,
1999-01,187.510,
1999-04,26.442,
1999-07,-91.294,
1999-10,0.960,
2000-01,13.068,
2000-04,-96.329,
2000-07,-43.715,
2000-10,-36.053,
2001-01,187.848,
2001-04,-179.049,
2001-07,-47.809,
2001-10,6.752,
2002-01,-28.034,
2002-04,-9.702,
2002-07,-18.333,
2002-10,286.997,
2003-01,-70.253,
2003-04,-56.960,
2003-07,-70.894,
2003-10,14.292,
2004-01,-30.661,
2004-04,51.988,
2004-07,4.219,
2004-10,34.521,
2005-01,-45.654,
2005-04,18.153,
2005-07,8.212,
2005-10,-31.724,
2006-01,358.650,
2006-04,246.200,
2006-07,-66.052,
2006-10,33.490,
2007-01,-65.437,
2007-04,258.126,
2007-07,-138.099,
2007-10,-126.389,
2008-01,1005.567,
2008-04,237.349,
2008-07,-9.602,
2008-10,13.187,
2009-01,-840.574,
2009-04,262.958,
2009-07,72.974,
2009-10,340.817,
2010-01,-21.335,
2010-04,143.389,
2010-07,103.759,
2010-10,157.782,
2011-01,20.523,
2011-04,-484.789,
2011-07,-139.417,
2011-10,53.605,
2012-01,22.771,
2012-04,-15.335,
2012-07,-3.123,
2012-10,394.067,
2013-01,725.452,
2013-04,951.830,
2013-07,-716.759,
2013-10,-1002.864,
2014-01,-124.672,Provisional value
2014-04,582.994,Provisional value
2014-07,-760.616,Provisional value
2014-10,-912.299,Provisional value
