"",BBK01.OEAH58R,BBK01.OEAH58R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:52,
2002-01,3.476,
2002-04,3.494,
2002-07,3.478,
2002-10,3.577,
2003-01,3.537,
2003-04,3.524,
2003-07,3.539,
2003-10,3.620,
2004-01,3.603,
2004-04,3.572,
2004-07,3.602,
2004-10,3.632,
2005-01,3.752,
2005-04,3.702,
2005-07,3.723,
2005-10,3.827,
2006-01,3.841,
2006-04,3.844,
2006-07,3.863,
2006-10,3.900,
2007-01,3.886,
2007-04,3.922,
2007-07,4.008,
2007-10,4.040,
2008-01,3.949,
2008-04,3.980,
2008-07,4.003,
2008-10,4.232,
2009-01,4.334,
2009-04,4.548,
2009-07,4.733,
2009-10,4.955,
2010-01,5.013,
2010-04,5.182,
2010-07,5.279,
2010-10,5.387,
2011-01,5.308,
2011-04,5.353,
2011-07,5.431,
2011-10,5.564,
2012-01,5.541,
2012-04,5.676,
2012-07,5.866,
2012-10,6.063,
2013-01,6.170,
2013-04,6.312,
2013-07,6.407,
2013-10,6.572,
2014-01,6.669,
2014-04,6.850,
2014-07,7.040,
