"",BBK01.OEAA55Q,BBK01.OEAA55Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:31,
2002-01,5.460,
2002-04,5.076,
2002-07,5.375,
2002-10,5.501,
2003-01,5.459,
2003-04,5.517,
2003-07,5.683,
2003-10,5.603,
2004-01,6.057,
2004-04,4.256,
2004-07,4.167,
2004-10,3.866,
2005-01,3.945,
2005-04,4.167,
2005-07,4.751,
2005-10,4.871,
2006-01,4.673,
2006-04,4.868,
2006-07,4.937,
2006-10,5.803,
2007-01,6.414,
2007-04,6.196,
2007-07,5.906,
2007-10,5.090,
2008-01,4.595,
2008-04,4.872,
2008-07,5.800,
2008-10,6.215,
2009-01,6.418,
2009-04,6.125,
2009-07,7.196,
2009-10,11.903,
2010-01,11.412,
2010-04,11.786,
2010-07,7.122,
2010-10,7.016,
2011-01,7.040,
2011-04,7.062,
2011-07,5.089,
2011-10,7.343,
2012-01,7.830,
2012-04,8.300,
2012-07,7.717,
2012-10,11.390,
2013-01,10.920,
2013-04,10.166,
2013-07,9.571,
2013-10,11.528,
2014-01,10.714,
2014-04,10.399,
2014-07,10.478,
