"",BBK01.OEAI10P,BBK01.OEAI10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:08,
2002-01,0.131,
2002-04,0.129,
2002-07,0.127,
2002-10,0.125,
2003-01,0.123,
2003-04,0.119,
2003-07,0.137,
2003-10,0.115,
2004-01,0.112,
2004-04,0.110,
2004-07,0.107,
2004-10,0.104,
2005-01,0.087,
2005-04,0.085,
2005-07,0.083,
2005-10,0.080,
2006-01,0.077,
2006-04,0.075,
2006-07,0.074,
2006-10,0.071,
2007-01,0.069,
2007-04,0.066,
2007-07,0.065,
2007-10,0.062,
2008-01,0.060,
2008-04,0.056,
2008-07,0.054,
2008-10,0.052,
2009-01,0.050,
2009-04,0.048,
2009-07,0.065,
2009-10,0.066,
2010-01,0.062,
2010-04,0.059,
2010-07,0.056,
2010-10,0.052,
2011-01,0.049,
2011-04,0.026,
2011-07,0.026,
2011-10,0.024,
2012-01,0.023,
2012-04,0.021,
2012-07,0.019,
2012-10,0.018,
2013-01,0.017,
2013-04,0.015,
2013-07,0.015,
2013-10,0.012,
2014-01,0.011,
2014-04,0.014,
2014-07,0.013,
